transaction_id,transaction_date,customer_id,product_name,quantity,price,payment_method,transaction_status,total_amount,value_tier,transaction_day_of_week,Manager,Branch,City,Country,lat,lon,transaction_month,order_period_num,cohort_month,cohort_index
T0081,2023-02-28,C3687,Smartphone,8.0,527.445927875622,Paypal,Completed,4219.567423004976,Medium,Tuesday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2023-02,24278,2020-01,37
T0087,2020-08-10,C703,Laptop,1.0,524.3963263783307,Cash,Completed,524.3963263783307,Low,Monday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2020-08,24248,2020-02,6
T0093,2024-12-31,C3843,Tablet,973.0,784.0773703024178,Creditcard,Not specified,762907.2813042525,High,Tuesday,Michael,Branch C,Paris,France,48.8566,2.3522,2024-12,24300,2021-06,42
T0103,2022-12-04,C327,Tablet,1.0,519.1465190119866,Paypal,Completed,519.1465190119866,Low,Sunday,Michael,Branch C,Paris,France,48.8566,2.3522,2022-12,24276,2020-10,26
T0107,2022-08-24,C4233,Laptop,1.0,524.3963263783307,Creditcard,Completed,524.3963263783307,Low,Wednesday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2022-08,24272,2022-07,1
T0108,2020-12-24,C4889,Smartphone,399.0,365.2654051623009,Creditcard,Completed,145740.89665975806,High,Thursday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2020-12,24252,2020-12,0
T0112,2024-09-06,C4249,Laptop,723.0,90.34728588175324,Creditcard,Failed,65321.08769250759,High,Friday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2024-09,24297,2020-07,50
T0113,2020-04-08,C2894,Headphones,1.0,86.41580941098921,Paypal,Completed,86.41580941098921,Low,Wednesday,John,Branch B,Vienna,Austria,48.2082,16.3738,2020-04,24244,2020-04,0
T0117,2021-03-29,C4411,Tablet,300.0,519.1465190119866,Paypal,Completed,155743.95570359597,High,Monday,Michael,Branch C,Paris,France,48.8566,2.3522,2021-03,24255,2021-03,0
T0122,2021-08-22,C4055,Headphones,603.0,528.3910851569777,Paypal,Pending,318619.8243496576,High,Sunday,John,Branch B,Vienna,Austria,48.2082,16.3738,2021-08,24260,2020-07,13
T0129,2021-11-14,C1399,Laptop,996.0,612.0199691406141,Paypal,Completed,609571.8892640516,High,Sunday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2021-11,24263,2020-02,21
T0132,2020-08-20,C1736,Laptop,1.0,524.3963263783307,Paypal,Completed,524.3963263783307,Low,Thursday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2020-08,24248,2020-08,0
T0133,2021-07-12,C2977,Laptop,137.0,524.3963263783307,Creditcard,Failed,71842.29671383131,High,Monday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2021-07,24259,2020-06,13
T0136,2024-05-04,C544,Tablet,788.0,519.1465190119866,Paypal,Completed,409087.45698144543,High,Saturday,Michael,Branch C,Paris,France,48.8566,2.3522,2024-05,24293,2022-09,20
T0137,2022-08-04,C4112,Headphones,322.0,528.3910851569777,Paypal,Completed,170141.92942054683,High,Thursday,John,Branch B,Vienna,Austria,48.2082,16.3738,2022-08,24272,2021-01,19
T0143,2022-06-28,C3555,Smartphone,3.0,625.381192727248,Creditcard,Completed,1876.143578181744,Medium,Tuesday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2022-06,24270,2020-04,26
T0144,2020-02-03,C4891,Coffee Machine,8.0,375.97285452626176,Paypal,Completed,3007.782836210094,Medium,Monday,John,Branch B,Berlin,Germany,52.52,13.405,2020-02,24242,2020-02,0
T0146,2022-12-14,C3320,Smartphone,1.0,527.445927875622,Paypal,Not specified,527.445927875622,Low,Wednesday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2022-12,24276,2020-07,29
T0152,2023-04-28,C3177,Laptop,1.0,524.3963263783307,Paypal,Failed,524.3963263783307,Low,Friday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2023-04,24280,2020-09,31
T0154,2022-01-13,C3826,Smartphone,3.0,527.445927875622,Paypal,Not specified,1582.337783626866,Medium,Thursday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2022-01,24265,2020-03,22
T0155,2020-01-23,C1382,Coffee Machine,1.0,520.8493387401068,Paypal,Completed,520.8493387401068,Low,Thursday,John,Branch B,Berlin,Germany,52.52,13.405,2020-01,24241,2020-01,0
T0157,2021-02-01,C2917,Coffee Machine,304.0,863.77,Creditcard,Pending,262586.08,High,Monday,John,Branch B,Berlin,Germany,52.52,13.405,2021-02,24254,2021-02,0
T17515,2024-11-25,C3287,Smartphone,1.0,850.4985899006939,Creditcard,Pending,850.4985899006939,Medium,Monday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2024-11,24299,2020-09,50
T0163,2021-08-11,C666,Smartphone,8.0,527.445927875622,Creditcard,Not specified,4219.567423004976,Medium,Wednesday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2021-08,24260,2020-07,13
T0165,2022-05-30,C316,Coffee Machine,599.0,520.8493387401068,Paypal,Pending,311988.753905324,High,Monday,John,Branch B,Berlin,Germany,52.52,13.405,2022-05,24269,2021-09,8
T0167,2021-08-05,C2395,Coffee Machine,547.0,520.8493387401068,Creditcard,Pending,284904.5882908384,High,Thursday,John,Branch B,Berlin,Germany,52.52,13.405,2021-08,24260,2020-02,18
T0175,2020-09-26,C4393,Laptop,505.0,213.46164941734105,Cash,Completed,107798.13295575723,High,Saturday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2020-09,24249,2020-01,8
T0177,2025-01-04,C3662,Tablet,1.0,460.8278566012473,Paypal,Completed,460.8278566012473,Low,Saturday,Michael,Branch C,Paris,France,48.8566,2.3522,2025-01,24301,2022-07,30
T0179,2021-08-19,C4160,Tablet,622.0,121.8158272059667,Cash,Completed,75769.44452211128,High,Thursday,Michael,Branch C,Paris,France,48.8566,2.3522,2021-08,24260,2021-03,5
T0181,2022-05-04,C887,Smartphone,359.0,365.48,Creditcard,Failed,131207.32,High,Wednesday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2022-05,24269,2020-05,24
T0182,2021-07-24,C4140,Coffee Machine,916.0,516.1081584281587,Creditcard,Pending,472755.0731201934,High,Saturday,John,Branch B,Berlin,Germany,52.52,13.405,2021-07,24259,2020-02,17
T0185,2024-05-14,C4308,Smartphone,779.0,388.0390415465828,Paypal,Completed,302282.413364788,High,Tuesday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2024-05,24293,2020-02,51
T0187,2024-04-12,C2965,Smartphone,1.0,527.445927875622,Cash,Not specified,527.445927875622,Low,Friday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2024-04,24292,2020-04,48
T0188,2023-08-12,C1159,Laptop,1.0,524.3963263783307,Creditcard,Pending,524.3963263783307,Low,Saturday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2023-08,24284,2020-09,35
T0189,2022-08-19,C047,Smartphone,10.0,252.64176119515056,Paypal,Completed,2526.4176119515055,Medium,Friday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2022-08,24272,2020-09,23
T0197,2021-03-08,C4862,Laptop,821.0,524.3963263783307,Creditcard,Pending,430529.3839566095,High,Monday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2021-03,24255,2021-03,0
T0199,2023-03-11,C3558,Coffee Machine,5.0,520.8493387401068,Creditcard,Pending,2604.246693700534,Medium,Saturday,John,Branch B,Berlin,Germany,52.52,13.405,2023-03,24279,2020-10,29
T0203,2022-08-28,C4643,Laptop,1.0,524.3963263783307,Paypal,Completed,524.3963263783307,Low,Sunday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2022-08,24272,2020-04,28
T0204,2021-02-08,C4690,Headphones,258.0,854.4182002616594,Creditcard,Not specified,220439.89566750813,High,Monday,John,Branch B,Vienna,Austria,48.2082,16.3738,2021-02,24254,2020-03,11
T0209,2024-03-13,C1378,Coffee Machine,586.0,445.25623821866463,Cash,Completed,260920.15559613748,High,Wednesday,John,Branch B,Berlin,Germany,52.52,13.405,2024-03,24291,2020-04,47
T0210,2022-03-08,C3762,Coffee Machine,1.0,148.63019474593415,Creditcard,Completed,148.63019474593415,Low,Tuesday,John,Branch B,Berlin,Germany,52.52,13.405,2022-03,24267,2020-11,16
T0220,2023-10-11,C3610,Smartphone,10.0,527.445927875622,Paypal,Not specified,5274.459278756221,Medium,Wednesday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2023-10,24286,2020-04,42
T0221,2020-03-08,C1613,Coffee Machine,1.0,58.03358928393075,Creditcard,Failed,58.03358928393075,Low,Sunday,John,Branch B,Berlin,Germany,52.52,13.405,2020-03,24243,2020-03,0
T0225,2023-04-18,C298,Tablet,10.0,282.0102882048541,Paypal,Failed,2820.102882048541,Medium,Tuesday,Michael,Branch C,Paris,France,48.8566,2.3522,2023-04,24280,2020-10,30
T0228,2022-04-03,C1613,Tablet,1.0,519.1465190119866,Paypal,Completed,519.1465190119866,Low,Sunday,Michael,Branch C,Paris,France,48.8566,2.3522,2022-04,24268,2020-03,25
T0230,2023-06-07,C1387,Headphones,1.0,933.2568077416644,Paypal,Completed,933.2568077416644,Medium,Wednesday,John,Branch B,Vienna,Austria,48.2082,16.3738,2023-06,24282,2021-03,27
T0235,2020-03-31,C4657,Coffee Machine,162.0,520.8493387401068,Creditcard,Completed,84377.5928758973,High,Tuesday,John,Branch B,Berlin,Germany,52.52,13.405,2020-03,24243,2020-03,0
T0237,2021-03-23,C3835,Smartphone,1.0,527.445927875622,Cash,Not specified,527.445927875622,Low,Tuesday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2021-03,24255,2020-07,8
T0241,2022-12-09,C2398,Coffee Machine,1.0,643.7099744048677,Paypal,Failed,643.7099744048677,Medium,Friday,John,Branch B,Berlin,Germany,52.52,13.405,2022-12,24276,2020-04,32
T0242,2023-12-01,C2286,Coffee Machine,1.0,520.8493387401068,Paypal,Completed,520.8493387401068,Low,Friday,John,Branch B,Berlin,Germany,52.52,13.405,2023-12,24288,2020-08,40
T0245,2021-07-30,C1417,Tablet,1.0,519.1465190119866,Cash,Failed,519.1465190119866,Low,Friday,Michael,Branch C,Paris,France,48.8566,2.3522,2021-07,24259,2021-03,4
T0248,2024-07-10,C2496,Headphones,431.0,242.13,Paypal,Failed,104358.03,High,Wednesday,John,Branch B,Vienna,Austria,48.2082,16.3738,2024-07,24295,2020-11,44
T0251,2023-04-17,C3631,Headphones,212.0,873.7449157057446,Creditcard,Failed,185233.92212961786,High,Monday,John,Branch B,Vienna,Austria,48.2082,16.3738,2023-04,24280,2023-04,0
T0252,2022-03-01,C4052,Laptop,1.0,538.144243872786,Creditcard,Completed,538.144243872786,Low,Tuesday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2022-03,24267,2021-08,7
T0253,2024-03-22,C1374,Laptop,1.0,115.6814182877149,Cash,Completed,115.6814182877149,Low,Friday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2024-03,24291,2020-01,50
T0254,2021-11-14,C2859,Coffee Machine,165.0,115.37062226098816,Creditcard,Completed,19036.152673063047,High,Sunday,John,Branch B,Berlin,Germany,52.52,13.405,2021-11,24263,2020-05,18
T0255,2021-01-12,C4435,Laptop,1.0,878.3307368842339,Creditcard,Failed,878.3307368842339,Medium,Tuesday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2021-01,24253,2020-01,12
T0267,2021-01-18,C4543,Coffee Machine,1.0,699.4001442993365,Cash,Completed,699.4001442993365,Medium,Monday,John,Branch B,Berlin,Germany,52.52,13.405,2021-01,24253,2020-03,10
T0268,2023-12-01,C2381,Laptop,7.0,524.3963263783307,Paypal,Failed,3670.774284648315,Medium,Friday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2023-12,24288,2020-09,39
T0269,2024-08-11,C3990,Coffee Machine,1.0,810.4362003026442,Creditcard,Completed,810.4362003026442,Medium,Sunday,John,Branch B,Berlin,Germany,52.52,13.405,2024-08,24296,2020-10,46
T0274,2023-02-08,C2934,Coffee Machine,8.0,58.90413474001046,Paypal,Failed,471.2330779200837,Low,Wednesday,John,Branch B,Berlin,Germany,52.52,13.405,2023-02,24278,2020-03,35
T0278,2020-11-28,C1298,Coffee Machine,319.0,520.8493387401068,Paypal,Completed,166150.93905809405,High,Saturday,John,Branch B,Berlin,Germany,52.52,13.405,2020-11,24251,2020-11,0
T0282,2023-07-19,C1022,Laptop,5.0,524.3963263783307,Creditcard,Completed,2621.9816318916537,Medium,Wednesday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2023-07,24283,2023-05,2
T0284,2022-10-04,C1301,Laptop,222.0,698.6577228569703,Cash,Pending,155102.0144742474,High,Tuesday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2022-10,24274,2021-03,19
T0294,2023-07-24,C1719,Laptop,3.0,581.8841170252601,Creditcard,Completed,1745.6523510757804,Medium,Monday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2023-07,24283,2020-01,42
T0299,2020-11-26,C1664,Headphones,1.0,132.95090982621306,Creditcard,Pending,132.95090982621306,Low,Thursday,John,Branch B,Vienna,Austria,48.2082,16.3738,2020-11,24251,2020-08,3
T0302,2020-11-17,C2108,Headphones,2.0,670.4798913854338,Paypal,Completed,1340.9597827708676,Medium,Tuesday,John,Branch B,Vienna,Austria,48.2082,16.3738,2020-11,24251,2020-06,5
T0303,2020-12-28,C4785,Smartphone,1.0,527.445927875622,Creditcard,Completed,527.445927875622,Low,Monday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2020-12,24252,2020-01,11
T0304,2022-04-12,C1803,Laptop,5.0,140.6198774288747,Paypal,Completed,703.0993871443735,Medium,Tuesday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2022-04,24268,2020-01,27
T0311,2022-06-08,C3494,Coffee Machine,936.0,520.8493387401068,Creditcard,Failed,487514.98106073996,High,Wednesday,John,Branch B,Berlin,Germany,52.52,13.405,2022-06,24270,2021-12,6
T0313,2021-06-30,C654,Coffee Machine,1.0,520.8493387401068,Cash,Failed,520.8493387401068,Low,Wednesday,John,Branch B,Berlin,Germany,52.52,13.405,2021-06,24258,2021-06,0
T0317,2022-09-19,C4635,Smartphone,1.0,983.6168855720676,Creditcard,Completed,983.6168855720676,Medium,Monday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2022-09,24273,2020-06,27
T0319,2020-01-14,C3479,Headphones,410.0,528.3910851569777,Paypal,Completed,216640.34491436087,High,Tuesday,John,Branch B,Vienna,Austria,48.2082,16.3738,2020-01,24241,2020-01,0
T0323,2024-11-02,C2361,Headphones,2.0,528.3910851569777,Creditcard,Pending,1056.7821703139555,Medium,Saturday,John,Branch B,Vienna,Austria,48.2082,16.3738,2024-11,24299,2020-09,50
T0328,2024-10-09,C1878,Headphones,989.0,528.3910851569777,Cash,Completed,522578.783220251,High,Wednesday,John,Branch B,Vienna,Austria,48.2082,16.3738,2024-10,24298,2020-07,51
T0333,2023-12-29,C2256,Laptop,584.0,524.3963263783307,Creditcard,Not specified,306247.45460494515,High,Friday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2023-12,24288,2020-12,36
T0337,2023-03-02,C4233,Tablet,118.0,519.1465190119866,Cash,Completed,61259.289243414416,High,Thursday,Michael,Branch C,Paris,France,48.8566,2.3522,2023-03,24279,2022-07,8
T0338,2023-04-10,C4411,Coffee Machine,1.0,520.8493387401068,Cash,Pending,520.8493387401068,Low,Monday,John,Branch B,Berlin,Germany,52.52,13.405,2023-04,24280,2021-03,25
T0339,2021-08-03,C3229,Coffee Machine,1.0,520.8493387401068,Cash,Completed,520.8493387401068,Low,Tuesday,John,Branch B,Berlin,Germany,52.52,13.405,2021-08,24260,2020-01,19
T0346,2023-08-14,C3763,Headphones,1.0,528.3910851569777,Creditcard,Not specified,528.3910851569777,Low,Monday,John,Branch B,Vienna,Austria,48.2082,16.3738,2023-08,24284,2020-06,38
T0348,2023-12-19,C967,Smartphone,1.0,458.30857807803295,Paypal,Completed,458.30857807803295,Low,Tuesday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2023-12,24288,2020-02,46
T0351,2021-09-03,C3070,Smartphone,1.0,527.445927875622,Creditcard,Not specified,527.445927875622,Low,Friday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2021-09,24261,2020-10,11
T0352,2022-10-16,C2080,Tablet,1.0,822.9978026249265,Cash,Completed,822.9978026249265,Medium,Sunday,Michael,Branch C,Paris,France,48.8566,2.3522,2022-10,24274,2020-03,31
T0355,2021-04-26,C1559,Tablet,5.0,519.1465190119866,Paypal,Failed,2595.732595059933,Medium,Monday,Michael,Branch C,Paris,France,48.8566,2.3522,2021-04,24256,2020-01,15
T0358,2022-01-26,C215,Headphones,481.0,505.1016560358623,Cash,Completed,242953.89655324977,High,Wednesday,John,Branch B,Vienna,Austria,48.2082,16.3738,2022-01,24265,2020-10,15
T0359,2022-11-29,C3357,Headphones,726.0,528.3910851569777,Paypal,Pending,383611.92782396585,High,Tuesday,John,Branch B,Vienna,Austria,48.2082,16.3738,2022-11,24275,2020-06,29
T0370,2021-09-21,C2351,Headphones,5.0,528.3910851569777,Creditcard,Completed,2641.9554257848886,Medium,Tuesday,John,Branch B,Vienna,Austria,48.2082,16.3738,2021-09,24261,2020-06,15
T0373,2020-02-07,C1963,Coffee Machine,7.0,520.8493387401068,Creditcard,Pending,3645.9453711807473,Medium,Friday,John,Branch B,Berlin,Germany,52.52,13.405,2020-02,24242,2020-02,0
T0374,2023-10-23,C1322,Smartphone,1.0,527.445927875622,Creditcard,Completed,527.445927875622,Low,Monday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2023-10,24286,2020-01,45
T0383,2020-09-18,C218,Tablet,1.0,111.88623908989376,Paypal,Completed,111.88623908989376,Low,Friday,Michael,Branch C,Paris,France,48.8566,2.3522,2020-09,24249,2020-03,6
T0385,2020-02-06,C1925,Headphones,171.0,528.3910851569777,Paypal,Not specified,90354.87556184319,High,Thursday,John,Branch B,Vienna,Austria,48.2082,16.3738,2020-02,24242,2020-02,0
T0386,2023-04-13,C3257,Smartphone,1.0,527.445927875622,Paypal,Completed,527.445927875622,Low,Thursday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2023-04,24280,2020-05,35
T0391,2021-07-09,C343,Laptop,9.0,524.3963263783307,Cash,Not specified,4719.566937404977,Medium,Friday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2021-07,24259,2020-03,16
T0394,2023-09-19,C2968,Tablet,266.0,444.1461383852306,Paypal,Not specified,118142.87281047134,High,Tuesday,Michael,Branch C,Paris,France,48.8566,2.3522,2023-09,24285,2020-05,40
T0395,2020-03-13,C4592,Laptop,223.0,524.3963263783307,Cash,Completed,116940.38078236775,High,Friday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2020-03,24243,2020-01,2
T0403,2021-12-08,C3011,Headphones,6.0,528.3910851569777,Cash,Pending,3170.3465109418667,Medium,Wednesday,John,Branch B,Vienna,Austria,48.2082,16.3738,2021-12,24264,2020-05,19
T0408,2022-03-08,C2342,Smartphone,199.0,623.5779013312855,Creditcard,Completed,124092.00236492581,High,Tuesday,Anna,Branch A,Warsaw,Poland,52.2297,21.0122,2022-03,24267,2021-01,14
T0410,2020-12-24,C3413,Coffee Machine,253.0,506.34782939947246,Paypal,Completed,128106.00083806654,High,Thursday,John,Branch B,Berlin,Germany,52.52,13.405,2020-12,24252,2020-07,5
T0411,2021-08-20,C842,Laptop,2.0,524.3963263783307,Creditcard,Not specified,1048.7926527566615,Medium,Friday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2021-08,24260,2021-08,0
T0421,2023-07-21,C4963,Headphones,1.0,528.3910851569777,Cash,Pending,528.3910851569777,Low,Friday,John,Branch B,Vienna,Austria,48.2082,16.3738,2023-07,24283,2020-01,42
T0423,2021-12-20,C898,Headphones,1.0,528.3910851569777,Creditcard,Pending,528.3910851569777,Low,Monday,John,Branch B,Vienna,Austria,48.2082,16.3738,2021-12,24264,2021-09,3
T0426,2024-07-25,C1385,Tablet,1.0,519.1465190119866,Paypal,Completed,519.1465190119866,Low,Thursday,Michael,Branch C,Paris,France,48.8566,2.3522,2024-07,24295,2020-04,51
T0431,2024-01-10,C1515,Tablet,701.0,519.1465190119866,Creditcard,Pending,363921.7098274026,High,Wednesday,Michael,Branch C,Paris,France,48.8566,2.3522,2024-01,24289,2020-03,46
T0434,2021-09-14,C4958,Tablet,1.0,519.1465190119866,Creditcard,Completed,519.1465190119866,Low,Tuesday,Michael,Branch C,Paris,France,48.8566,2.3522,2021-09,24261,2021-03,6
T0436,2022-08-24,C573,Headphones,583.0,528.3910851569777,Paypal,Failed,308052.002646518,High,Wednesday,John,Branch B,Vienna,Austria,48.2082,16.3738,2022-08,24272,2021-04,16
T0441,2021-04-28,C1822,Laptop,598.0,175.65593211106244,Creditcard,Not specified,105042.24740241533,High,Wednesday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2021-04,24256,2020-04,12
T0443,2022-09-20,C1659,Coffee Machine,3.0,520.8493387401068,Cash,Completed,1562.5480162203203,Medium,Tuesday,John,Branch B,Berlin,Germany,52.52,13.405,2022-09,24273,2020-11,22
T0448,2024-01-12,C4227,Headphones,1.0,478.103073947093,Creditcard,Not specified,478.103073947093,Low,Friday,John,Branch B,Vienna,Austria,48.2082,16.3738,2024-01,24289,2020-07,42
T0449,2024-04-18,C1428,Headphones,908.0,528.3910851569777,Creditcard,Pending,479779.1053225358,High,Thursday,John,Branch B,Vienna,Austria,48.2082,16.3738,2024-04,24292,2022-07,21
T0458,2020-06-02,C1744,Laptop,8.0,524.3963263783307,Cash,Completed,4195.170611026646,Medium,Tuesday,Anna,Branch A,Prague,Czechia,50.0755,14.4378,2020-06,24246,2020-06,0
T0464,2021-06-07,C1343,Headphones,3.0,644.4471848103135,Creditcard,Not specified,1933.3415544309405,Medium,Monday,John,Branch B,Vienna,Austria,48.2082,16.3738,2021-06,24258,2020-06,12
T0466,2023-07-27,C2554,Headphones,1.0,528.3910851569777,Paypal,Not specified,528.3910851569777,Low,Thursday,John,Branch B,Vienna,Austria,48.2082,16.3738,2023-07,24283,2020-04,39
T0468,2022-04-02,C2171,Coffee Machine,1.0,632.6464123180596,Paypal,Completed,632.6464123180596,Medium,Saturday,John,Branch B,Berlin,Germany,52.52,13.405,2022-04,24268,2022-04,0
T0475,2020-08-27,C3914,Tablet,3.0,73.30939822921115,Paypal,Completed,219.92819468763346,Low,Thursday,Michael,Branch C,Paris,France,48.8566,2.3522,2020-08,24248,2020-08,0
