transaction_id,transaction_date,customer_id,product_name,quantity,price,payment_method,transaction_status,total_amount,branch,city,country,region,department,manager,lat,lon,value_tier
T19804,2020-01-02,C4269,Headphones,-4.0,,PayPal ,,,Branch E,Vienna,Austria,Europe,Retail Banking,Stefan,48.2082,16.3738,Low
T19057,2020-01-02,C832,Coffee Machine,913.0,270.63710010609486,Cash,Completed,247091.6723968646,Branch B,Berlin,Germany,Europe,Retail Banking,John,52.52,13.405,High
T87076,2020-01-02,C330,Headphones,9.0,,pay pal,Pending,,Branch E,Vienna,Austria,Europe,Retail Banking,Stefan,48.2082,16.3738,Low
T93436,2020-01-02,C4106,Headphones,175.0,,PayPal,Pending,,Branch E,Vienna,Austria,Europe,Retail Banking,Stefan,48.2082,16.3738,Low
T29874,2020-01-02,,Smartphone,7.0,,Credit Card,Failed,,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,Low
T88829,2020-01-02,C3263,Tablet,-2.0,264.42460938304555,creditcard,Completed,-528.8492187660911,Branch C,Paris,France,Europe,Retail Banking,Michael,48.8566,2.3522,Low
,2020-01-02,C2398,Smartphone,-9.0,108.46776788039006,credit card,,-976.2099109235105,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,Low
T12257,2020-01-02,C4210,Coffee Machine,-3.0,873.84,creditcard,complete,-2621.52,Branch B,Berlin,Germany,Europe,Retail Banking,John,52.52,13.405,Low
T69934,2020-01-02,C086,Smartphone,4.0,,creditcard,Failed,,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,Low
T33460,2020-01-02,C4155,Smartphone,2.0,,pay pal,,,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,Low
T5520,2020-01-02,C2710,Laptop,4.0,,credit card,completed,,Branch D,Prague,Czechia,Europe,Retail Banking,Elena,50.0755,14.4378,Low
T5965,2020-01-02,C2502,Tablet,-1.0,100.9090442684751,pay pal,completed,-100.9090442684751,Branch C,Paris,France,Europe,Retail Banking,Michael,48.8566,2.3522,Low
T45213,2020-01-02,C645,Headphones,220.0,954.3250839781006,creditcard,Pending,209951.51847518212,Branch E,Vienna,Austria,Europe,Retail Banking,Stefan,48.2082,16.3738,High
T83223,2020-01-02,C3524,Smartphone,6.0,,credit card,complete,,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,Low
T43708,2020-01-02,C3518,Headphones,5.0,346.0595586097863,creditcard,completed,1730.2977930489315,Branch E,Vienna,Austria,Europe,Retail Banking,Stefan,48.2082,16.3738,High
T57536,2020-01-02,C1087,Tablet,908.0,,credit card,,,Branch C,Paris,France,Europe,Retail Banking,Michael,48.8566,2.3522,Low
T96200,2020-01-03,C1860,Coffee Machine,747.0,551.7830201665889,pay pal,complete,412181.9160644419,Branch B,Berlin,Germany,Europe,Retail Banking,John,52.52,13.405,High
T67663,2020-01-03,C789,Smartphone,-5.0,500.8460812585219,creditcard,,-2504.2304062926096,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,Low
T99760,2020-01-03,C779,Headphones,1.0,145.71616419656095,PayPal,Completed,145.71616419656095,Branch E,Vienna,Austria,Europe,Retail Banking,Stefan,48.2082,16.3738,Medium
,2020-01-03,C373,Headphones,-9.0,316.7248890009349,pay pal,complete,-2850.5240010084144,Branch E,Vienna,Austria,Europe,Retail Banking,Stefan,48.2082,16.3738,Low
,2020-01-03,C164,Laptop,-10.0,890.53,credit card,Pending,-8905.3,Branch D,Prague,Czechia,Europe,Retail Banking,Elena,50.0755,14.4378,Low
T29177,2020-01-03,C4250,Laptop,-8.0,,Cash,Failed,,Branch D,Prague,Czechia,Europe,Retail Banking,Elena,50.0755,14.4378,Low
T40131,2020-01-03,C3485,Tablet,-3.0,,Credit Card,complete,,Branch C,Paris,France,Europe,Retail Banking,Michael,48.8566,2.3522,Low
T74115,2020-01-03,C4435,Laptop,-10.0,135.23,credit card,completed,-1352.3,Branch D,Prague,Czechia,Europe,Retail Banking,Elena,50.0755,14.4378,Low
T57031,2020-01-03,C4606,Tablet,6.0,,pay pal,,,Branch C,Paris,France,Europe,Retail Banking,Michael,48.8566,2.3522,Low
T57085,2020-01-03,C4969,Headphones,-10.0,760.6153907181181,PayPal,complete,-7606.15390718118,Branch E,Vienna,Austria,Europe,Retail Banking,Stefan,48.2082,16.3738,Low
T1333,2020-01-03,C4647,Tablet,8.0,150.23870023433687,credit card,completed,1201.909601874695,Branch C,Paris,France,Europe,Retail Banking,Michael,48.8566,2.3522,High
T53030,2020-01-04,C4312,Smartphone,-7.0,912.2078561258631,Credit Card,complete,-6385.454992881042,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,Low
T62952,2020-01-04,C720,Headphones,149.0,891.7517276758555,Credit Card,Completed,132871.00742370245,Branch E,Vienna,Austria,Europe,Retail Banking,Stefan,48.2082,16.3738,High
T92712,2020-01-04,C1334,Smartphone,-3.0,915.99,Cash,complete,-2747.9700000000003,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,Low
T1860,2020-01-04,C3853,Smartphone,-9.0,,PayPal ,,,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,Low
T4947,2020-01-04,C3229,Coffee Machine,-8.0,242.66176396498685,Cash,Failed,-1941.2941117198948,Branch B,Berlin,Germany,Europe,Retail Banking,John,52.52,13.405,Low
T52209,2020-01-04,C841,Laptop,2.0,645.8557871863584,Credit Card,Failed,1291.7115743727168,Branch D,Prague,Czechia,Europe,Retail Banking,Elena,50.0755,14.4378,High
T24598,2020-01-04,C195,Headphones,454.0,526.7921426366593,pay pal,,239163.6327570433,Branch E,Vienna,Austria,Europe,Retail Banking,Stefan,48.2082,16.3738,High
,2020-01-04,C2465,Smartphone,-4.0,278.23223709623244,Cash,Completed,-1112.9289483849298,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,Low
T81382,2020-01-04,C2312,Coffee Machine,-8.0,,creditcard,Completed,,Branch B,Berlin,Germany,Europe,Retail Banking,John,52.52,13.405,Low
T24601,2020-01-04,C2008,Smartphone,9.0,992.1885506514028,credit card,Pending,8929.696955862626,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,High
T61388,2020-01-04,C2081,Coffee Machine,9.0,733.0677348794511,Credit Card,completed,6597.6096139150595,Branch B,Berlin,Germany,Europe,Retail Banking,John,52.52,13.405,High
T28722,2020-01-04,C005,Headphones,-10.0,214.4642428604384,credit card,Pending,-2144.642428604384,Branch E,Vienna,Austria,Europe,Retail Banking,Stefan,48.2082,16.3738,Low
T86773,2020-01-04,C3813,Coffee Machine,,,Credit Card,Failed,,Branch B,Berlin,Germany,Europe,Retail Banking,John,52.52,13.405,Low
T70698,2020-01-04,C3316,Headphones,5.0,,credit card,completed,,Branch E,Vienna,Austria,Europe,Retail Banking,Stefan,48.2082,16.3738,Low
T66896,2020-01-05,C4993,Headphones,270.0,939.2185839197632,Cash,Failed,253589.01765833606,Branch E,Vienna,Austria,Europe,Retail Banking,Stefan,48.2082,16.3738,High
T94409,2020-01-05,C2998,Coffee Machine,10.0,,credit card,Pending,,Branch B,Berlin,Germany,Europe,Retail Banking,John,52.52,13.405,Low
,2020-01-05,C013,Coffee Machine,,120.18871049149392,credit card,Pending,,Branch B,Berlin,Germany,Europe,Retail Banking,John,52.52,13.405,Low
T16481,2020-01-05,C3189,Tablet,1.0,117.42965197984267,Credit Card,Pending,117.42965197984267,Branch C,Paris,France,Europe,Retail Banking,Michael,48.8566,2.3522,Medium
T29333,2020-01-05,C2555,Smartphone,870.0,597.762962517543,PayPal ,Completed,520053.7773902624,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,High
T17964,2020-01-05,C4675,Laptop,111.0,,pay pal,Failed,,Branch D,Prague,Czechia,Europe,Retail Banking,Elena,50.0755,14.4378,Low
T98841,2020-01-05,C3442,Tablet,593.0,263.4369601399312,Cash,complete,156218.11736297922,Branch C,Paris,France,Europe,Retail Banking,Michael,48.8566,2.3522,High
T89918,2020-01-05,C405,Tablet,8.0,847.2497302150516,Cash,Completed,6777.997841720413,Branch C,Paris,France,Europe,Retail Banking,Michael,48.8566,2.3522,High
T98747,2020-01-05,C2992,Headphones,-6.0,,PayPal,,,Branch E,Vienna,Austria,Europe,Retail Banking,Stefan,48.2082,16.3738,Low
T20055,2020-01-05,C4774,Headphones,1.0,,Credit Card,Completed,,Branch E,Vienna,Austria,Europe,Retail Banking,Stefan,48.2082,16.3738,Low
T47846,2020-01-05,C195,Laptop,10.0,,creditcard,Completed,,Branch D,Prague,Czechia,Europe,Retail Banking,Elena,50.0755,14.4378,Low
T6654,2020-01-05,C2151,Headphones,-7.0,,credit card,Completed,,Branch E,Vienna,Austria,Europe,Retail Banking,Stefan,48.2082,16.3738,Low
T21500,2020-01-05,C168,Smartphone,-7.0,513.4427681425177,pay pal,,-3594.099376997624,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,Low
T38062,2020-01-05,C2820,Coffee Machine,-6.0,,Credit Card,Pending,,Branch B,Berlin,Germany,Europe,Retail Banking,John,52.52,13.405,Low
T37105,2020-01-05,C1559,Headphones,802.0,,Credit Card,,,Branch E,Vienna,Austria,Europe,Retail Banking,Stefan,48.2082,16.3738,Low
T91169,2020-01-05,C170,Smartphone,-9.0,,Cash,Pending,,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,Low
T68410,2020-01-05,C2790,Tablet,-4.0,,creditcard,Pending,,Branch C,Paris,France,Europe,Retail Banking,Michael,48.8566,2.3522,Low
T97133,2020-01-05,C917,Laptop,,713.0551423214483,pay pal,,,Branch D,Prague,Czechia,Europe,Retail Banking,Elena,50.0755,14.4378,Low
T91910,2020-01-05,C188,Laptop,4.0,611.2141872840668,creditcard,Failed,2444.8567491362674,Branch D,Prague,Czechia,Europe,Retail Banking,Elena,50.0755,14.4378,High
T69883,2020-01-05,C3874,Smartphone,870.0,,PayPal,completed,,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,Low
T10772,2020-01-05,C3103,Smartphone,3.0,879.6057750301192,PayPal,Completed,2638.8173250903574,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,High
T83098,2020-01-06,C3588,Tablet,616.0,,Credit Card,completed,,Branch C,Paris,France,Europe,Retail Banking,Michael,48.8566,2.3522,Low
T77805,2020-01-06,C2876,Headphones,-8.0,,pay pal,Completed,,Branch E,Vienna,Austria,Europe,Retail Banking,Stefan,48.2082,16.3738,Low
T46447,2020-01-06,C1392,Laptop,3.0,249.0993090250161,Cash,Failed,747.2979270750484,Branch D,Prague,Czechia,Europe,Retail Banking,Elena,50.0755,14.4378,Medium
T75811,2020-01-06,C2880,Headphones,,,Cash,Completed,,Branch E,Vienna,Austria,Europe,Retail Banking,Stefan,48.2082,16.3738,Low
T49546,2020-01-06,C4188,Smartphone,304.0,991.4149391182788,credit card,completed,301390.1414919567,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,High
T15109,2020-01-06,C3865,Smartphone,9.0,369.94469862020014,Cash,Failed,3329.5022875818013,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,High
T64953,2020-01-06,C483,Coffee Machine,-6.0,582.1040656836719,Credit Card,Completed,-3492.6243941020316,Branch B,Berlin,Germany,Europe,Retail Banking,John,52.52,13.405,Low
,2020-01-06,C4682,Headphones,-9.0,312.1291005257706,creditcard,,-2809.1619047319355,Branch E,Vienna,Austria,Europe,Retail Banking,Stefan,48.2082,16.3738,Low
T73800,2020-01-06,C3791,Laptop,-6.0,932.795591189683,PayPal,complete,-5596.773547138098,Branch D,Prague,Czechia,Europe,Retail Banking,Elena,50.0755,14.4378,Low
T13194,2020-01-06,C2107,Laptop,-3.0,,pay pal,,,Branch D,Prague,Czechia,Europe,Retail Banking,Elena,50.0755,14.4378,Low
T38006,2020-01-06,C4930,Tablet,4.0,,PayPal,Failed,,Branch C,Paris,France,Europe,Retail Banking,Michael,48.8566,2.3522,Low
T43424,2020-01-06,C2617,Headphones,553.0,603.8441991182681,PayPal ,Completed,333925.84211240226,Branch E,Vienna,Austria,Europe,Retail Banking,Stefan,48.2082,16.3738,High
T55676,2020-01-06,C1787,Headphones,-10.0,477.4561227180886,PayPal,Completed,-4774.561227180886,Branch E,Vienna,Austria,Europe,Retail Banking,Stefan,48.2082,16.3738,Low
T75837,2020-01-07,C4181,Headphones,9.0,530.25,credit card,Completed,4772.25,Branch E,Vienna,Austria,Europe,Retail Banking,Stefan,48.2082,16.3738,High
T37732,2020-01-07,C4877,Tablet,1.0,,PayPal,completed,,Branch C,Paris,France,Europe,Retail Banking,Michael,48.8566,2.3522,Low
,2020-01-07,C920,Coffee Machine,-4.0,,Cash,,,Branch B,Berlin,Germany,Europe,Retail Banking,John,52.52,13.405,Low
T27731,2020-01-07,C1470,Smartphone,-10.0,,PayPal,complete,,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,Low
T29024,2020-01-07,C2350,Coffee Machine,707.0,,creditcard,Failed,,Branch B,Berlin,Germany,Europe,Retail Banking,John,52.52,13.405,Low
T63088,2020-01-07,C4407,Tablet,456.0,591.3895296248147,Credit Card,Completed,269673.6255089155,Branch C,Paris,France,Europe,Retail Banking,Michael,48.8566,2.3522,High
T38736,2020-01-07,C1374,Tablet,-7.0,737.3,PayPal,Pending,-5161.099999999999,Branch C,Paris,France,Europe,Retail Banking,Michael,48.8566,2.3522,Low
,2020-01-07,C2499,Tablet,887.0,,pay pal,completed,,Branch C,Paris,France,Europe,Retail Banking,Michael,48.8566,2.3522,Low
T46845,2020-01-07,C2028,Laptop,-1.0,,pay pal,Failed,,Branch D,Prague,Czechia,Europe,Retail Banking,Elena,50.0755,14.4378,Low
T35761,2020-01-07,C4640,Headphones,395.0,,Credit Card,,,Branch E,Vienna,Austria,Europe,Retail Banking,Stefan,48.2082,16.3738,Low
T75860,2020-01-07,C1171,Headphones,-2.0,83.58947050048718,pay pal,completed,-167.17894100097436,Branch E,Vienna,Austria,Europe,Retail Banking,Stefan,48.2082,16.3738,Low
T4632,2020-01-07,C2058,Smartphone,474.0,575.1284013603304,Cash,Pending,272610.8622447966,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,High
T71079,2020-01-07,C1976,Headphones,,,PayPal,Pending,,Branch E,Vienna,Austria,Europe,Retail Banking,Stefan,48.2082,16.3738,Low
T21697,2020-01-07,,Smartphone,-7.0,348.89010309825983,pay pal,complete,-2442.230721687819,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,Low
T82327,2020-01-07,C3719,Smartphone,297.0,462.76739181908766,credit card,Pending,137441.91537026904,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,High
T55566,2020-01-07,C367,Headphones,-6.0,106.6236951236385,Cash,completed,-639.7421707418309,Branch E,Vienna,Austria,Europe,Retail Banking,Stefan,48.2082,16.3738,Low
,2020-01-07,C1059,Smartphone,-6.0,692.4702140800058,pay pal,Failed,-4154.821284480035,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,Low
T99450,2020-01-07,C2743,Tablet,6.0,838.16,Credit Card,complete,5028.96,Branch C,Paris,France,Europe,Retail Banking,Michael,48.8566,2.3522,High
T81644,2020-01-07,,Laptop,-3.0,,Credit Card,Pending,,Branch D,Prague,Czechia,Europe,Retail Banking,Elena,50.0755,14.4378,Low
T62610,2020-01-07,C1588,Tablet,970.0,869.3767107959336,creditcard,Pending,843295.4094720556,Branch C,Paris,France,Europe,Retail Banking,Michael,48.8566,2.3522,High
T10339,2020-01-08,C1332,Coffee Machine,9.0,,Credit Card,completed,,Branch B,Berlin,Germany,Europe,Retail Banking,John,52.52,13.405,Low
T10830,2020-01-08,C2713,Laptop,3.0,,Credit Card,Failed,,Branch D,Prague,Czechia,Europe,Retail Banking,Elena,50.0755,14.4378,Low
T96482,2020-01-08,C2018,Headphones,789.0,215.70261996878423,PayPal,complete,170189.36715537077,Branch E,Vienna,Austria,Europe,Retail Banking,Stefan,48.2082,16.3738,High
T62244,2020-01-08,C2776,Smartphone,794.0,817.2368665745495,Credit Card,Completed,648886.0720601922,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,High
T43374,2020-01-08,C2792,Tablet,766.0,78.22737863964747,PayPal,Failed,59922.17203796996,Branch C,Paris,France,Europe,Retail Banking,Michael,48.8566,2.3522,High
T47954,2020-01-08,C551,Headphones,2.0,662.6467852385164,PayPal,completed,1325.2935704770327,Branch E,Vienna,Austria,Europe,Retail Banking,Stefan,48.2082,16.3738,High
T81016,2020-01-08,C2016,Headphones,5.0,227.4178536534177,pay pal,Completed,1137.0892682670885,Branch E,Vienna,Austria,Europe,Retail Banking,Stefan,48.2082,16.3738,High
T27388,2020-01-08,C2649,Smartphone,562.0,,PayPal ,Pending,,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,Low
T90737,2020-01-08,C2095,Headphones,-9.0,178.52419531753424,credit card,complete,-1606.717757857808,Branch E,Vienna,Austria,Europe,Retail Banking,Stefan,48.2082,16.3738,Low
T41989,2020-01-08,C2864,Tablet,1.0,92.32546609654034,credit card,complete,92.32546609654034,Branch C,Paris,France,Europe,Retail Banking,Michael,48.8566,2.3522,Low
T87701,2020-01-08,,Coffee Machine,-7.0,708.5341419707564,credit card,complete,-4959.738993795295,Branch B,Berlin,Germany,Europe,Retail Banking,John,52.52,13.405,Low
T97558,2020-01-08,C079,Headphones,925.0,,PayPal,complete,,Branch E,Vienna,Austria,Europe,Retail Banking,Stefan,48.2082,16.3738,Low
T48232,2020-01-08,C035,Laptop,414.0,,Credit Card,,,Branch D,Prague,Czechia,Europe,Retail Banking,Elena,50.0755,14.4378,Low
T81583,2020-01-08,C3594,Headphones,389.0,947.9060681552672,pay pal,,368735.460512399,Branch E,Vienna,Austria,Europe,Retail Banking,Stefan,48.2082,16.3738,High
T43092,2020-01-08,C2705,Headphones,9.0,,pay pal,Failed,,Branch E,Vienna,Austria,Europe,Retail Banking,Stefan,48.2082,16.3738,Low
T49641,2020-01-08,C467,Smartphone,-5.0,373.7510459118936,credit card,Completed,-1868.7552295594678,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,Low
T73502,2020-01-08,C3496,Coffee Machine,247.0,983.3681026643736,pay pal,complete,242891.92135810028,Branch B,Berlin,Germany,Europe,Retail Banking,John,52.52,13.405,High
T79713,2020-01-08,C4325,Coffee Machine,4.0,442.7359040959641,Cash,complete,1770.9436163838564,Branch B,Berlin,Germany,Europe,Retail Banking,John,52.52,13.405,High
T90737,2020-01-08,C2095,Headphones,-9.0,178.52419531753424,credit card,complete,-1606.717757857808,Branch E,Vienna,Austria,Europe,Retail Banking,Stefan,48.2082,16.3738,Low
T19349,2020-01-09,C1715,Headphones,-8.0,,PayPal ,completed,,Branch E,Vienna,Austria,Europe,Retail Banking,Stefan,48.2082,16.3738,Low
T62334,2020-01-09,C4098,Tablet,-8.0,710.5578708737913,Cash,Failed,-5684.462966990331,Branch C,Paris,France,Europe,Retail Banking,Michael,48.8566,2.3522,Low
T21739,2020-01-09,C4698,Coffee Machine,-1.0,,PayPal ,Failed,,Branch B,Berlin,Germany,Europe,Retail Banking,John,52.52,13.405,Low
T51788,2020-01-09,C2038,Tablet,,,PayPal,complete,,Branch C,Paris,France,Europe,Retail Banking,Michael,48.8566,2.3522,Low
T21400,2020-01-09,C3495,Laptop,-4.0,818.2863014478353,Cash,complete,-3273.145205791341,Branch D,Prague,Czechia,Europe,Retail Banking,Elena,50.0755,14.4378,Low
T0521,2020-01-09,C745,Coffee Machine,-10.0,145.8264235816955,pay pal,,-1458.264235816955,Branch B,Berlin,Germany,Europe,Retail Banking,John,52.52,13.405,Low
T88270,2020-01-09,C3675,Smartphone,178.0,,Credit Card,completed,,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,Low
T76097,2020-01-09,C2579,Tablet,1.0,189.88,pay pal,Failed,189.88,Branch C,Paris,France,Europe,Retail Banking,Michael,48.8566,2.3522,Medium
T91005,2020-01-09,C2970,Headphones,-8.0,150.63746373291076,creditcard,Completed,-1205.099709863286,Branch E,Vienna,Austria,Europe,Retail Banking,Stefan,48.2082,16.3738,Low
T36725,2020-01-09,C2950,Tablet,2.0,,PayPal,completed,,Branch C,Paris,France,Europe,Retail Banking,Michael,48.8566,2.3522,Low
T1634,2020-01-09,C3622,Tablet,750.0,244.97059103409296,credit card,,183727.94327556973,Branch C,Paris,France,Europe,Retail Banking,Michael,48.8566,2.3522,High
T53355,2020-01-09,C4429,Tablet,127.0,509.635940650133,PayPal ,Failed,64723.76446256689,Branch C,Paris,France,Europe,Retail Banking,Michael,48.8566,2.3522,High
T79634,2020-01-09,C1597,Headphones,928.0,,Credit Card,,,Branch E,Vienna,Austria,Europe,Retail Banking,Stefan,48.2082,16.3738,Low
T54066,2020-01-09,C876,Tablet,9.0,595.7565661198387,Credit Card,,5361.809095078548,Branch C,Paris,France,Europe,Retail Banking,Michael,48.8566,2.3522,High
T79905,2020-01-09,C2093,Smartphone,394.0,903.35,PayPal,Pending,355919.9,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,High
T75806,2020-01-09,C3778,Laptop,-5.0,,PayPal,,,Branch D,Prague,Czechia,Europe,Retail Banking,Elena,50.0755,14.4378,Low
T53869,2020-01-09,C4409,Tablet,10.0,355.0047849132103,Cash,complete,3550.047849132103,Branch C,Paris,France,Europe,Retail Banking,Michael,48.8566,2.3522,High
T19349,2020-01-09,C1715,Headphones,-8.0,,PayPal ,completed,,Branch E,Vienna,Austria,Europe,Retail Banking,Stefan,48.2082,16.3738,Low
T9978,2020-01-09,C4794,Tablet,521.0,582.843077744804,credit card,completed,303661.24350504286,Branch C,Paris,France,Europe,Retail Banking,Michael,48.8566,2.3522,High
T87135,2020-01-09,C3973,Laptop,1.0,419.6522780543353,pay pal,,419.6522780543353,Branch D,Prague,Czechia,Europe,Retail Banking,Elena,50.0755,14.4378,Medium
T59339,2020-01-09,C2540,Coffee Machine,-6.0,495.004717450703,Cash,Failed,-2970.028304704218,Branch B,Berlin,Germany,Europe,Retail Banking,John,52.52,13.405,Low
T35586,2020-01-09,,Laptop,-4.0,725.0374474739695,PayPal,Pending,-2900.149789895878,Branch D,Prague,Czechia,Europe,Retail Banking,Elena,50.0755,14.4378,Low
T1702,2020-01-09,C2972,Laptop,6.0,902.7673941522156,creditcard,Pending,5416.6043649132935,Branch D,Prague,Czechia,Europe,Retail Banking,Elena,50.0755,14.4378,High
T73867,2020-01-10,C2403,Laptop,7.0,305.9970119487275,creditcard,,2141.9790836410925,Branch D,Prague,Czechia,Europe,Retail Banking,Elena,50.0755,14.4378,High
T86260,2020-01-10,C2124,Smartphone,665.0,,Credit Card,Completed,,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,Low
T28484,2020-01-10,C511,Laptop,521.0,,PayPal ,Pending,,Branch D,Prague,Czechia,Europe,Retail Banking,Elena,50.0755,14.4378,Low
T33892,2020-01-10,C181,Headphones,,50.43034329946624,creditcard,completed,,Branch E,Vienna,Austria,Europe,Retail Banking,Stefan,48.2082,16.3738,Low
T86637,2020-01-10,,Coffee Machine,926.0,,Credit Card,Completed,,Branch B,Berlin,Germany,Europe,Retail Banking,John,52.52,13.405,Low
T22586,2020-01-10,C4342,Laptop,7.0,494.8199593735042,creditcard,Pending,3463.7397156145294,Branch D,Prague,Czechia,Europe,Retail Banking,Elena,50.0755,14.4378,High
T87625,2020-01-10,C1304,Tablet,9.0,,PayPal,Pending,,Branch C,Paris,France,Europe,Retail Banking,Michael,48.8566,2.3522,Low
T94757,2020-01-10,C4190,Headphones,-7.0,746.2172048260602,pay pal,Failed,-5223.520433782422,Branch E,Vienna,Austria,Europe,Retail Banking,Stefan,48.2082,16.3738,Low
T15359,2020-01-10,C4704,Smartphone,548.0,366.7404209147924,Credit Card,completed,200973.75066130626,Branch A,Warsaw,Poland,Europe,Retail Banking,Anna,52.2297,21.0122,High
T92377,2020-01-10,C4939,Headphones,210.0,548.0597826836711,credit card,completed,115092.55436357093,Branch E,Vienna,Austria,Europe,Retail Banking,Stefan,48.2082,16.3738,High
