customer_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_Score,Segment
C097,60,8,15723.603796120597,3,3,1,331,Sleeping
C098,338,5,694780.0917725232,2,1,3,213,Sleeping
C099,494,4,6818.866517537108,1,1,1,111,Sleeping
C100,79,7,234984.6290121871,3,2,1,321,Sleeping
C1000,332,7,9824.677491849472,2,2,1,221,At Risk
C1001,283,7,367890.6386414919,2,2,2,222,At Risk
C1002,78,5,216749.46520948267,3,1,1,311,Newbies
C1003,46,3,419488.73311169236,3,1,2,312,Newbies
C1004,418,4,1044280.802412895,1,1,3,113,Sleeping
C1005,60,4,258854.28339895434,3,1,1,311,Newbies
C1006,108,4,809947.5719783141,3,1,3,313,Newbies
C1007,756,3,4471.009920068746,1,1,1,111,Sleeping
C1008,13,5,936194.0934426541,3,1,3,313,Newbies
C1009,376,3,1025646.4751989174,1,1,3,113,Sleeping
C101,249,8,350505.64340161125,2,3,2,232,At Risk
C1010,1235,3,440064.7577098435,1,1,2,112,Sleeping
C1011,957,1,387310.6654200647,1,1,2,112,Sleeping
C1012,342,5,891882.4873948548,2,1,3,213,Sleeping
C1013,563,3,254791.0012242224,1,1,1,111,Sleeping
C1014,731,7,1045556.9946415264,1,2,3,123,At Risk
C1015,37,6,504545.42797620344,3,2,2,322,Champions
C1016,378,9,619082.3185064499,1,3,2,132,At Risk
C1017,211,5,523597.4389905067,2,1,2,212,Sleeping
C1018,1837,1,3692.121495129354,1,1,1,111,Sleeping
C1019,162,6,352305.02548332606,2,2,2,222,At Risk
C102,380,6,459266.41169244406,1,2,2,122,At Risk
C1020,1356,2,659693.366519012,1,1,2,112,Sleeping
C1021,253,1,876.4814498703405,2,1,1,211,Sleeping
C1022,208,3,1346013.4244377303,2,1,3,213,Sleeping
C1023,1,8,997106.8383664119,3,3,3,333,Champions
C1024,1806,1,528.3910851569777,1,1,1,111,Sleeping
C1025,176,5,214835.61801109082,2,1,1,211,Sleeping
C1026,176,5,437993.7415988352,2,1,2,212,Sleeping
C1027,126,8,1330826.9140279405,3,3,3,333,Champions
C1028,316,6,137447.96037798093,2,2,1,221,At Risk
C1029,236,3,8843.009269489306,2,1,1,211,Sleeping
C103,204,4,4600.7862159532615,2,1,1,211,Sleeping
C1030,46,9,1586247.7490434675,3,3,3,333,Champions
C1031,96,7,1343860.464538996,3,2,3,323,Champions
C1032,1294,3,466215.74326011527,1,1,2,112,Sleeping
C1033,101,3,492708.99390599015,3,1,2,312,Newbies
C1034,811,4,92561.24558072937,1,1,1,111,Sleeping
C1035,197,5,654711.1538255378,2,1,2,212,Sleeping
C1036,597,3,727698.1997399833,1,1,3,113,Sleeping
C1037,356,3,168208.72196725,1,1,1,111,Sleeping
C1038,348,8,518309.2892707671,2,3,2,232,At Risk
C1039,111,11,1073812.942845549,3,3,3,333,Champions
C104,356,9,753026.5683016344,1,3,3,133,At Risk
C1040,28,5,459849.7087080994,3,1,2,312,Newbies
C1041,176,8,1070668.4353836454,2,3,3,233,At Risk
C1042,416,4,753874.2629180797,1,1,3,113,Sleeping
C1043,732,7,1216965.040129157,1,2,3,123,At Risk
C1044,24,5,378940.74303258123,3,1,2,312,Newbies
C1045,76,9,934610.4093527744,3,3,3,333,Champions
C1046,176,5,395010.9758088932,2,1,2,212,Sleeping
C1047,605,4,3219.7612189330903,1,1,1,111,Sleeping
C1048,114,8,489825.18700897804,3,3,2,332,Champions
C1049,562,3,5809.466473908791,1,1,1,111,Sleeping
C105,324,3,1643.5832388939107,2,1,1,211,Sleeping
C1050,173,9,531506.940619832,2,3,2,232,At Risk
C1051,140,6,636690.178500332,2,2,2,222,At Risk
C1052,144,5,567975.9214978813,2,1,2,212,Sleeping
C1053,66,4,377646.26779106003,3,1,2,312,Newbies
C1054,1322,3,363321.5615428825,1,1,2,112,Sleeping
C1055,262,7,1346897.5610714445,2,2,3,223,At Risk
C1056,1040,3,1570.9887732659395,1,1,1,111,Sleeping
C1057,1148,3,85343.53852557263,1,1,1,111,Sleeping
C1058,136,9,772100.4627617546,2,3,3,233,At Risk
C1059,334,6,424812.2527549033,2,2,2,222,At Risk
C106,252,3,410470.5970681609,2,1,2,212,Sleeping
C1060,170,8,216662.3952708202,2,3,1,231,At Risk
C1061,713,1,1585.1732554709333,1,1,1,111,Sleeping
C1062,237,6,945562.020503444,2,2,3,223,At Risk
C1063,65,7,664180.2776665097,3,2,3,323,Champions
C1064,52,7,990485.5584915207,3,2,3,323,Champions
C1065,82,5,37343.02107356642,3,1,1,311,Newbies
C1066,675,2,5717.422988044333,1,1,1,111,Sleeping
C1067,26,7,627465.4874748408,3,2,2,322,Champions
C1068,89,4,222240.12801805077,3,1,1,311,Newbies
C1069,202,4,12830.27459140545,2,1,1,211,Sleeping
C107,320,5,508408.84640168067,2,1,2,212,Sleeping
C1070,163,7,303190.84166850377,2,2,2,222,At Risk
C1071,72,2,1061.7771064199014,3,1,1,311,Newbies
C1072,310,6,324027.58689915127,2,2,2,222,At Risk
C1073,85,10,1710483.7460757638,3,3,3,333,Champions
C1074,310,5,1223279.0271936697,2,1,3,213,Sleeping
C1075,725,4,8287.898679690537,1,1,1,111,Sleeping
C1076,240,4,289365.78127095464,2,1,2,212,Sleeping
C1077,142,9,1292350.336638659,2,3,3,233,At Risk
C1078,2,7,78253.12081897003,3,2,1,321,Sleeping
C1079,250,5,127042.54706014699,2,1,1,211,Sleeping
C108,53,7,442299.61649642437,3,2,2,322,Champions
C1080,42,7,1443714.013878278,3,2,3,323,Champions
C1081,337,7,12916.744876569623,2,2,1,221,At Risk
C1082,95,9,1086538.440434951,3,3,3,333,Champions
C1083,290,8,323455.2223500068,2,3,2,232,At Risk
C1084,446,7,648074.6412962455,1,2,2,122,At Risk
C1085,149,7,11764.790557810384,2,2,1,221,At Risk
C1086,721,5,442739.7102272856,1,1,2,112,Sleeping
C1087,58,7,826785.4863901144,3,2,3,323,Champions
C1088,659,4,4692.5106231259815,1,1,1,111,Sleeping
C1089,33,1,1166.8164804459261,3,1,1,311,Newbies
C109,354,4,327503.4535500727,1,1,2,112,Sleeping
C1090,642,8,938300.2851098868,1,3,3,133,At Risk
C1091,667,5,583912.6405292839,1,1,2,112,Sleeping
C1092,215,7,503334.60502798256,2,2,2,222,At Risk
C1093,97,7,542221.7456403733,3,2,2,322,Champions
C1094,2,9,362336.33578679024,3,3,2,332,Champions
C1095,84,7,84965.98780845704,3,2,1,321,Sleeping
C1096,494,5,980356.0905982696,1,1,3,113,Sleeping
C1097,300,5,450824.72028052097,2,2,2,222,At Risk
C1098,626,5,172810.10449916622,1,2,1,121,At Risk
C1099,169,4,871432.1096955574,2,1,3,213,Sleeping
C110,297,4,426924.0412592413,2,1,2,212,Sleeping
C1100,18,7,385864.03672090184,3,2,2,322,Champions
C1101,422,9,648038.5894017516,1,3,2,132,At Risk
C1102,385,5,414719.8241856613,1,2,2,122,At Risk
C1103,1141,3,506317.7779418695,1,1,2,112,Sleeping
C1104,154,11,60430.666103115014,2,3,1,231,At Risk
C1105,243,5,351757.26517606684,2,2,2,222,At Risk
C1106,45,10,630756.2275413891,3,3,2,332,Champions
C1107,23,6,8370.406077993119,3,2,1,321,Sleeping
C1108,51,11,1579824.7703544947,3,3,3,333,Champions
C1109,49,7,1540613.5077954545,3,2,3,323,Champions
C111,408,7,833624.2685772097,1,2,3,123,At Risk
C1110,314,4,233736.16792324875,2,1,1,211,Sleeping
C1111,192,3,440084.1187622032,2,1,2,212,Sleeping
C1112,222,6,674348.6710620666,2,2,3,223,At Risk
C1113,923,3,675894.5874367005,1,1,3,113,Sleeping
C1114,69,5,1461492.4048757958,3,2,3,323,Champions
C1115,4,3,465216.4511854798,3,1,2,312,Newbies
C1116,67,11,1561566.4409846948,3,3,3,333,Champions
C1117,315,8,1408622.0934139455,2,3,3,233,At Risk
C1118,57,2,7925.882829325043,3,1,1,311,Newbies
C1119,50,7,2483355.5793340863,3,2,3,323,Champions
C112,286,6,8361.112677277895,2,2,1,221,At Risk
C1120,31,7,753151.9099824742,3,2,3,323,Champions
C1121,257,8,670673.603110519,2,3,3,233,At Risk
C1122,153,7,1622187.2839515107,2,2,3,223,At Risk
C1123,870,7,310952.0316354775,1,2,2,122,At Risk
C1124,226,11,194519.8729428629,2,3,1,231,At Risk
C1125,329,2,80871.91520888553,2,1,1,211,Sleeping
C1126,345,5,136613.56765197433,2,2,1,221,At Risk
C1127,334,1,311750.74024261686,2,1,2,212,Sleeping
C1128,112,3,223872.56762952497,3,1,1,311,Newbies
C1129,1042,2,4594.985340031631,1,1,1,111,Sleeping
C113,48,10,318988.87546636024,3,3,2,332,Champions
C1130,13,6,249160.22817236534,3,2,1,321,Sleeping
C1131,361,6,386931.03564912826,1,2,2,122,At Risk
C1132,107,5,354367.7608332444,3,2,2,322,Champions
C1133,95,7,1181180.985114946,3,2,3,323,Champions
C1134,610,5,429336.8302351685,1,2,2,122,At Risk
C1135,445,4,827676.9638708291,1,1,3,113,Sleeping
C1136,178,5,226704.39623234773,2,2,1,221,At Risk
C1137,168,10,1787543.545802889,2,3,3,233,At Risk
C1138,249,3,486214.6840326339,2,1,2,212,Sleeping
C1139,30,8,694659.6543415328,3,3,3,333,Champions
C114,130,9,583731.4105304201,2,3,2,232,At Risk
C1140,692,4,196558.43081842843,1,1,1,111,Sleeping
C1141,135,9,1183953.5220679105,2,3,3,233,At Risk
C1142,121,5,330723.39413241454,3,2,2,322,Champions
C1143,238,11,831439.3067359764,2,3,3,233,At Risk
C1144,351,7,946163.4232296513,1,2,3,123,At Risk
C1145,247,6,994319.4530548522,2,2,3,223,At Risk
C1146,146,6,562225.4066977083,2,2,2,222,At Risk
C1147,1,4,518204.53054805245,3,1,2,312,Newbies
C1148,16,10,156932.86130195516,3,3,1,331,Sleeping
C1149,237,10,1307939.07346553,2,3,3,233,At Risk
C115,66,3,268956.5093892932,3,1,1,311,Newbies
C1150,87,10,1439652.9777557629,3,3,3,333,Champions
C1151,13,8,326589.98272796685,3,3,2,332,Champions
C1152,362,4,113800.61773083487,1,1,1,111,Sleeping
C1153,559,4,261623.7593711508,1,1,1,111,Sleeping
C1154,51,9,1037174.7069617582,3,3,3,333,Champions
C1155,915,5,466620.9782352214,1,2,2,122,At Risk
C1156,195,8,1229289.5070539592,2,3,3,233,At Risk
C1157,968,2,700.8045379700008,1,1,1,111,Sleeping
C1158,130,6,1153101.8725113322,2,2,3,223,At Risk
C1159,22,5,826640.5656346007,3,2,3,323,Champions
C116,127,4,10593.83427082288,2,1,1,211,Sleeping
C1160,33,3,745909.7039523881,3,1,3,313,Newbies
C1161,691,4,415097.28789740754,1,1,2,112,Sleeping
C1162,105,7,506638.0078451513,3,2,2,322,Champions
C1163,526,10,1529579.949592401,1,3,3,133,At Risk
C1164,135,8,350500.7297536539,2,3,2,232,At Risk
C1165,260,5,1053777.2969184392,2,2,3,223,At Risk
C1166,85,5,1649901.845384018,3,2,3,323,Champions
C1167,184,6,104559.5262627685,2,2,1,221,At Risk
C1168,1230,1,290622.70625946776,1,1,2,112,Sleeping
C1169,181,10,546948.8644591473,2,3,2,232,At Risk
C117,1017,4,704738.7413117979,1,1,3,113,Sleeping
C1170,77,2,230771.866874855,3,1,1,311,Newbies
C1171,99,4,408694.4719797944,3,1,2,312,Newbies
C1172,44,6,656378.115712469,3,2,2,322,Champions
C1173,45,6,8248.532509384835,3,2,1,321,Sleeping
C1174,264,4,2354.078927453371,2,1,1,211,Sleeping
C1175,282,7,14279.647904723743,2,2,1,221,At Risk
C1176,15,8,843837.1979126614,3,3,3,333,Champions
C1177,83,6,966196.076235931,3,2,3,323,Champions
C1178,11,4,470253.0171941975,3,1,2,312,Newbies
C1179,319,5,350075.68108838244,2,2,2,222,At Risk
C118,551,6,386362.17907372845,1,2,2,122,At Risk
C1180,847,6,397343.11824919574,1,2,2,122,At Risk
C1181,96,10,1047475.629880003,3,3,3,333,Champions
C1182,518,4,8247.388660159584,1,1,1,111,Sleeping
C1183,247,4,14235.836651781527,2,1,1,211,Sleeping
C1184,44,4,294157.95319615124,3,1,2,312,Newbies
C1185,707,6,10476.621386036913,1,2,1,121,At Risk
C1186,266,5,1288676.61255863,2,2,3,223,At Risk
C1187,603,5,325045.3114645075,1,2,2,122,At Risk
C1188,72,5,14123.05016362097,3,2,1,321,Sleeping
C1189,25,5,1011143.7796084645,3,2,3,323,Champions
C119,806,3,5283.783942016963,1,1,1,111,Sleeping
C1190,842,5,8215.29366123098,1,2,1,121,At Risk
C1191,55,9,619574.8387509437,3,3,2,332,Champions
C1192,104,7,745530.141026935,3,2,3,323,Champions
C1193,246,5,770343.2659718944,2,2,3,223,At Risk
C1194,585,5,86263.85121968378,1,2,1,121,At Risk
C1195,225,5,1677761.4656306626,2,2,3,223,At Risk
C1196,331,8,259915.74728136882,2,3,1,231,At Risk
C1197,641,6,1005506.3139255419,1,2,3,123,At Risk
C1198,1063,3,127884.06662978572,1,1,1,111,Sleeping
C1199,827,4,9080.313095419535,1,1,1,111,Sleeping
C120,416,6,694357.0228765548,1,2,3,123,At Risk
C1200,422,8,821549.5120618962,1,3,3,133,At Risk
C1201,102,6,184164.92418010425,3,2,1,321,Sleeping
C1202,25,3,7594.328108646359,3,1,1,311,Newbies
C1203,506,5,1303071.2248150096,1,2,3,123,At Risk
C1204,116,6,213157.9987491406,3,2,1,321,Sleeping
C1205,777,3,132626.1623744014,1,1,1,111,Sleeping
C1206,102,8,507772.0384632086,3,3,2,332,Champions
C1207,370,4,591068.8180375342,1,1,2,112,Sleeping
C1208,530,8,459364.2722985741,1,3,2,132,At Risk
C1209,101,6,578290.3296839799,3,2,2,322,Champions
C121,322,4,536568.104628695,2,1,2,212,Sleeping
C1210,565,4,989595.7189124508,1,1,3,113,Sleeping
C1211,298,8,791883.6887957489,2,3,3,233,At Risk
C1212,52,7,534353.1856714598,3,2,2,322,Champions
C1213,336,7,1827337.7791096205,2,2,3,223,At Risk
C1214,243,4,218688.5095877561,2,1,1,211,Sleeping
C1215,16,7,674813.3190472713,3,2,3,323,Champions
C1216,14,10,691485.5348102353,3,3,3,333,Champions
C1217,88,8,1231599.1184751492,3,3,3,333,Champions
C1218,100,8,510509.4881186271,3,3,2,332,Champions
C1219,40,4,775444.5549501032,3,1,3,313,Newbies
C122,910,2,86525.39385242458,1,1,1,111,Sleeping
C1220,242,7,654264.794683213,2,2,2,222,At Risk
C1221,218,8,1992378.3392270207,2,3,3,233,At Risk
C1222,465,8,1332480.9089766287,1,3,3,133,At Risk
C1223,69,8,509527.6845743734,3,3,2,332,Champions
C1224,241,5,974929.1241016553,2,2,3,223,At Risk
C1225,67,4,5722.316757451728,3,1,1,311,Newbies
C1226,31,8,574968.634298419,3,3,2,332,Champions
C1227,136,7,258969.06373482005,2,2,1,221,At Risk
C1228,376,8,988092.5721494722,1,3,3,133,At Risk
C1229,1372,2,485401.99527620745,1,1,2,112,Sleeping
C123,383,4,167478.69341572648,1,1,1,111,Sleeping
C1230,86,8,460725.5096888989,3,3,2,332,Champions
C1231,420,1,1585.1732554709333,1,1,1,111,Sleeping
C1232,843,9,1832659.140628125,1,3,3,133,At Risk
C1233,77,3,5309.163056028003,3,1,1,311,Newbies
C1234,174,5,438776.2970272763,2,2,2,222,At Risk
C1235,370,11,583934.0300223323,1,3,2,132,At Risk
C1236,1739,1,143803.5857663203,1,1,1,111,Sleeping
C1237,167,4,257141.7517327816,2,1,1,211,Sleeping
C1238,365,7,1041049.6861273538,1,2,3,123,At Risk
C1239,24,9,299080.83690132,3,3,2,332,Champions
C124,30,4,11414.247919569969,3,1,1,311,Newbies
C1240,593,5,410105.0528146899,1,2,2,122,At Risk
C1241,181,7,1164780.2186293881,2,2,3,223,At Risk
C1242,79,7,753758.2807441979,3,2,3,323,Champions
C1243,949,4,7506.98693306141,1,1,1,111,Sleeping
C1244,34,7,560867.8742129962,3,2,2,322,Champions
C1245,31,4,355397.94612069416,3,1,2,312,Newbies
C1246,346,7,469277.38692276645,2,2,2,222,At Risk
C1247,2,8,422013.60884065536,3,3,2,332,Champions
C1248,359,6,1400953.8474334972,1,2,3,123,At Risk
C1249,67,7,456641.47927881544,3,2,2,322,Champions
C125,592,7,313813.4227785307,1,2,2,122,At Risk
C1250,362,2,2642.286076047946,1,1,1,111,Sleeping
C1251,126,7,990858.6114276118,3,2,3,323,Champions
C1253,219,5,238728.0857886034,2,2,1,221,At Risk
C1254,153,12,835394.8219798446,2,3,3,233,At Risk
C1255,1218,1,520.8493387401068,1,1,1,111,Sleeping
C1256,517,6,618448.538257946,1,2,2,122,At Risk
C1257,83,3,263983.4904081749,3,1,1,311,Newbies
C1258,109,8,152807.95089462004,3,3,1,331,Sleeping
C1259,704,2,1105.2095585643572,1,1,1,111,Sleeping
C126,220,6,695474.4912494877,2,2,3,223,At Risk
C1260,241,3,562866.0458526663,2,1,2,212,Sleeping
C1261,925,2,1043.5428453903173,1,1,1,111,Sleeping
C1262,176,5,1394075.880787889,2,2,3,223,At Risk
C1263,327,3,6266.5003361749605,2,1,1,211,Sleeping
C1264,327,2,338697.7404283414,2,1,2,212,Sleeping
C1265,125,10,1086340.8418790947,3,3,3,333,Champions
C1266,388,7,124222.83468853272,1,2,1,121,At Risk
C1267,80,4,827166.2210601654,3,1,3,313,Newbies
C1268,375,7,626418.4948296298,1,2,2,122,At Risk
C1269,224,5,276702.3515893109,2,2,2,222,At Risk
C127,4,4,137791.89314419936,3,1,1,311,Newbies
C1270,157,3,271894.4435563909,2,1,1,211,Sleeping
C1271,644,4,162623.1200114868,1,1,1,111,Sleeping
C1272,601,5,652571.9258436761,1,2,2,122,At Risk
C1273,371,8,1279271.5839076084,1,3,3,133,At Risk
C1274,36,7,749938.5649228328,3,2,3,323,Champions
C1275,303,7,1116318.8691708609,2,2,3,223,At Risk
C1276,59,6,153047.1077665262,3,2,1,321,Sleeping
C1277,387,3,249593.23845077105,1,1,1,111,Sleeping
C1278,79,11,1072849.7394520063,3,3,3,333,Champions
C1279,499,6,1355222.627486762,1,2,3,123,At Risk
C128,170,9,895220.2527745513,2,3,3,233,At Risk
C1280,80,3,497366.829059131,3,1,2,312,Newbies
C1281,116,6,707115.419537819,3,2,3,323,Champions
C1282,338,5,3596.444571566845,2,2,1,221,At Risk
C1283,123,9,1107678.550271412,3,3,3,333,Champions
C1284,556,6,340469.04394001473,1,2,2,122,At Risk
C1285,36,7,258858.33130423352,3,2,1,321,Sleeping
C1286,455,6,762021.5830504731,1,2,3,123,At Risk
C1287,90,5,150397.80615788134,3,2,1,321,Sleeping
C1288,131,7,645899.6021537887,2,2,2,222,At Risk
C1289,688,6,1034073.1700511146,1,2,3,123,At Risk
C129,318,3,6339.747864602377,2,1,1,211,Sleeping
C1290,198,9,718677.2931631426,2,3,3,233,At Risk
C1291,72,9,82339.06980013869,3,3,1,331,Sleeping
C1292,168,9,1524648.1090158373,2,3,3,233,At Risk
C1293,192,4,78543.6928498629,2,1,1,211,Sleeping
C1294,130,5,976875.989768466,2,2,3,223,At Risk
C1295,212,8,383329.4066022004,2,3,2,232,At Risk
C1296,207,11,625387.598163128,2,3,2,232,At Risk
C1297,754,4,262439.2444591792,1,1,1,111,Sleeping
C1298,41,11,852838.9888931052,3,3,3,333,Champions
C1299,400,6,365287.7805477068,1,2,2,122,At Risk
C130,213,6,1338219.6551828447,2,2,3,223,At Risk
C1300,356,5,8835.56841294681,1,2,1,121,At Risk
C1301,130,11,1943241.2659270233,2,3,3,233,At Risk
C1302,247,4,899647.8541602308,2,1,3,213,Sleeping
C1303,143,3,1824.3330380239731,2,1,1,211,Sleeping
C1304,235,5,516450.55729901907,2,2,2,222,At Risk
C1305,488,4,1369656.452972733,1,1,3,113,Sleeping
C1306,15,7,800037.2634146983,3,2,3,323,Champions
C1307,494,3,652851.8899732264,1,1,2,112,Sleeping
C1308,401,5,546628.8586739176,1,2,2,122,At Risk
C1309,228,2,5247.012865280599,2,1,1,211,Sleeping
C131,820,4,4039.6991455444468,1,1,1,111,Sleeping
C1310,135,5,233525.55183447237,2,2,1,221,At Risk
C1311,223,6,5057.254101534054,2,2,1,221,At Risk
C1312,282,4,2769.1935992423564,2,1,1,211,Sleeping
C1313,11,10,1292196.8223947452,3,3,3,333,Champions
C1314,1174,3,595773.4965015557,1,1,2,112,Sleeping
C1315,635,4,3822.815780060049,1,1,1,111,Sleeping
C1316,15,6,459917.67186723195,3,2,2,322,Champions
C1317,134,9,773907.5831397634,2,3,3,233,At Risk
C1318,628,4,84877.4170865358,1,1,1,111,Sleeping
C1319,43,6,7267.155913113298,3,2,1,321,Sleeping
C132,205,4,1117054.619914923,2,1,3,213,Sleeping
C1320,616,4,587926.1062164032,1,1,2,112,Sleeping
C1321,130,8,1484910.4858057774,2,3,3,233,At Risk
C1322,42,7,431097.5274387799,3,2,2,322,Champions
C1323,30,2,43060.56517202081,3,1,1,311,Newbies
C1324,98,7,351986.92298633116,3,2,2,322,Champions
C1325,171,10,352940.9813026594,2,3,2,232,At Risk
C1326,1043,6,23858.72299839073,1,2,1,121,At Risk
C1327,215,7,866320.7102455209,2,2,3,223,At Risk
C1328,14,3,10002.886212676525,3,1,1,311,Newbies
C1329,237,6,532188.3505652475,2,2,2,222,At Risk
C133,99,8,969857.3985999401,3,3,3,333,Champions
C1330,148,6,1043343.1441495109,2,2,3,223,At Risk
C1331,613,5,434842.48565331305,1,2,2,122,At Risk
C1332,399,5,1039928.7705607031,1,2,3,123,At Risk
C1333,201,10,2287483.9624534305,2,3,3,233,At Risk
C1334,635,3,7841.72002476839,1,1,1,111,Sleeping
C1335,408,2,1082.260306180775,1,1,1,111,Sleeping
C1336,19,6,462714.95082365855,3,2,2,322,Champions
C1337,43,5,10393.465995357205,3,2,1,321,Sleeping
C1338,354,5,6562.965333210287,1,2,1,121,At Risk
C1339,3,3,700844.061196733,3,1,3,313,Newbies
C134,217,3,95448.12091841348,2,1,1,211,Sleeping
C1340,51,7,219816.27095515054,3,2,1,321,Sleeping
C1341,326,3,373670.2950590375,2,1,2,212,Sleeping
C1342,10,4,301836.1111358945,3,1,2,312,Newbies
C1343,85,10,713438.0363980676,3,3,3,333,Champions
C1344,197,7,512277.80484252534,2,2,2,222,At Risk
C1345,221,4,261026.85949177862,2,1,1,211,Sleeping
C1346,505,4,4176.180624247829,1,1,1,111,Sleeping
