customer_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_Score,Segment
C057,35,10,1196759.3998220016,3,3,3,333,Champions
C058,163,5,559830.7025477176,2,2,2,222,At Risk
C059,125,6,20273.604865729176,3,2,1,321,Sleeping
C060,227,8,295675.5488151394,2,3,2,232,At Risk
C061,377,7,64136.70501050207,1,3,1,131,At Risk
C062,1223,3,266450.26371085766,1,1,2,112,Sleeping
C063,74,7,90868.05812335876,3,3,1,331,Sleeping
C064,66,4,651360.627802868,3,1,2,312,Newbies
C065,1037,4,826885.3559785747,1,1,3,113,Sleeping
C066,387,10,594914.4996866138,1,3,2,132,At Risk
C067,361,5,217825.05173679243,2,2,1,221,At Risk
C068,266,1,125536.4410398997,2,1,1,211,Sleeping
C069,255,2,13786.533319120714,2,1,1,211,Sleeping
C070,789,1,618.4939533495707,1,1,1,111,Sleeping
C071,463,5,264071.5979592505,1,2,2,122,At Risk
C072,134,7,658081.9737456341,2,3,2,232,At Risk
C073,1091,4,770473.3103391302,1,1,3,113,Sleeping
C074,77,6,347874.8625112158,3,2,2,322,Champions
C075,60,5,206232.47274582475,3,2,1,321,Sleeping
C076,465,6,1090087.8235123972,1,2,3,123,At Risk
C077,10,5,787179.5783040945,3,2,3,323,Champions
C078,11,4,41447.37881287145,3,1,1,311,Newbies
C079,290,6,1143258.520925032,2,2,3,223,At Risk
C080,58,4,679393.036653324,3,1,3,313,Newbies
C081,447,4,194005.92096365162,1,1,1,111,Sleeping
C082,70,9,308561.17330532003,3,3,2,332,Champions
C083,259,6,26678.8416960527,2,2,1,221,At Risk
C084,502,5,198022.50116468553,1,2,1,121,At Risk
C085,805,4,515500.1393873378,1,1,2,112,Sleeping
C086,655,6,456208.48129827774,1,2,2,122,At Risk
C087,194,3,3301.5116375644893,2,1,1,211,Sleeping
C088,458,4,74759.15130021825,1,1,1,111,Sleeping
C089,189,10,515110.46692206454,2,3,2,232,At Risk
C090,23,9,796451.2636106686,3,3,3,333,Champions
C091,248,3,152260.71743733442,2,1,1,211,Sleeping
C092,3,14,1566810.776215716,3,3,3,333,Champions
C093,58,7,877439.0898529859,3,3,3,333,Champions
C094,9,6,1691345.8830414806,3,2,3,323,Champions
C095,275,7,975050.6683919766,2,3,3,233,At Risk
C096,66,3,638661.6950300717,3,1,2,312,Newbies
C097,60,7,15181.986678871348,3,3,1,331,Sleeping
C098,338,5,810604.5828231316,2,2,3,223,At Risk
C099,494,4,6031.238275697666,1,1,1,111,Sleeping
C100,79,7,234642.067179182,3,3,1,331,Sleeping
C1000,332,5,8707.383641685987,2,2,1,221,At Risk
C1001,283,6,174870.74498319248,2,2,1,221,At Risk
C1002,78,5,216127.57548664275,3,2,1,321,Sleeping
C1003,46,3,665093.3905616119,3,1,3,313,Newbies
C1004,418,4,876525.8410232451,1,1,3,113,Sleeping
C1005,60,4,163677.67456824152,3,1,1,311,Newbies
C1006,108,4,804160.6775820262,3,1,3,313,Newbies
C1007,756,3,4479.136651830067,1,1,1,111,Sleeping
C1008,13,5,919689.1589817136,3,2,3,323,Champions
C1009,376,3,993317.2144595099,1,1,3,113,Sleeping
C101,748,7,646491.6338841101,1,3,2,132,At Risk
C1010,1235,3,614320.7002996851,1,1,2,112,Sleeping
C1011,957,1,226482.34000000003,1,1,1,111,Sleeping
C1012,342,5,999940.3455486158,2,2,3,223,At Risk
C1013,563,3,254791.0012242224,1,1,2,112,Sleeping
C1014,731,7,1307647.8852704251,1,3,3,133,At Risk
C1015,37,6,654441.8757898221,3,2,2,322,Champions
C1016,378,8,736269.4385142331,1,3,3,133,At Risk
C1017,211,5,517876.4086656659,2,2,2,222,At Risk
C1018,1837,1,3677.771850023642,1,1,1,111,Sleeping
C1019,162,6,297951.7279207311,2,2,2,222,At Risk
C102,380,6,771434.837016467,1,2,3,123,At Risk
C1020,1356,2,659700.6527594611,1,1,2,112,Sleeping
C1021,253,1,876.4814498703405,2,1,1,211,Sleeping
C1022,208,3,1346021.4845028233,2,1,3,213,Sleeping
C1023,1,8,939850.6237139296,3,3,3,333,Champions
C1024,1806,1,123.70801608727572,1,1,1,111,Sleeping
C1025,176,5,214285.61132781333,2,2,1,221,At Risk
C1026,176,5,437802.6592816362,2,2,2,222,At Risk
C1027,126,8,1250084.322369699,3,3,3,333,Champions
C1028,316,6,153506.52985308794,2,2,1,221,At Risk
C1029,236,3,8843.009269489306,2,1,1,211,Sleeping
C103,204,4,4644.503658647087,2,1,1,211,Sleeping
C1030,46,9,1162385.705197969,3,3,3,333,Champions
C1031,96,7,1343397.2365674314,3,3,3,333,Champions
C1032,1294,3,546174.3718659144,1,1,2,112,Sleeping
C1033,101,3,492503.7008478004,3,1,2,312,Newbies
C1034,811,4,92568.53182117835,1,1,1,111,Sleeping
C1035,197,4,653342.8234693401,2,1,2,212,Sleeping
C1036,597,3,729033.8457588654,1,1,3,113,Sleeping
C1037,356,3,170563.7896452862,2,1,1,211,Sleeping
C1038,348,7,520877.5784073935,2,3,2,232,At Risk
C1039,111,11,1377832.1768084385,3,3,3,333,Champions
C104,356,8,755377.6768299935,2,3,3,233,At Risk
C1040,28,5,598782.6773360879,3,2,2,322,Champions
C1041,176,7,1073014.4545420557,2,3,3,233,At Risk
C1042,416,4,687183.1528086658,1,1,3,113,Sleeping
C1043,732,7,1221504.4987782277,1,3,3,133,At Risk
C1044,24,5,379225.5049224312,3,2,2,322,Champions
C1045,76,9,828047.1837488621,3,3,3,333,Champions
C1046,176,5,393628.4895524378,2,2,2,222,At Risk
C1047,605,4,4150.419867126284,1,1,1,111,Sleeping
C1048,225,6,491937.22768924147,2,2,2,222,At Risk
C1049,562,3,5784.207598958063,1,1,1,111,Sleeping
C105,324,3,1642.421186723143,2,1,1,211,Sleeping
C1050,173,9,532771.4047779447,2,3,2,232,At Risk
C1051,140,6,983093.7135939712,2,2,3,223,At Risk
C1052,144,5,417582.34975745063,2,2,2,222,At Risk
C1053,108,3,198666.62285143766,3,1,1,311,Newbies
C1054,1322,3,584839.1846020448,1,1,2,112,Sleeping
C1055,262,7,1346303.9805407661,2,3,3,233,At Risk
C1056,1040,3,1323.2470775128259,1,1,1,111,Sleeping
C1057,1148,3,128787.77609869458,1,1,1,111,Sleeping
C1058,136,7,776421.4254870872,2,3,3,233,At Risk
C1059,334,6,426831.0094131371,2,2,2,222,At Risk
C106,252,3,408023.64355730906,2,1,2,212,Sleeping
C1060,170,8,215867.4681533261,2,3,1,231,At Risk
C1061,713,1,1575.70117736441,1,1,1,111,Sleeping
C1062,237,6,941625.412386344,2,2,3,223,At Risk
C1063,65,7,726689.2139763049,3,3,3,333,Champions
C1064,52,7,998428.8153610869,3,3,3,333,Champions
C1065,82,5,37334.41232255943,3,2,1,321,Sleeping
C1066,675,2,6420.043170947929,1,1,1,111,Sleeping
C1067,26,7,666829.786000164,3,3,3,333,Champions
C1068,89,3,221720.98149903878,3,1,1,311,Newbies
C1069,202,4,12867.911193789145,2,1,1,211,Sleeping
C107,320,5,386655.23565868544,2,2,2,222,At Risk
C1070,163,5,234510.45113882973,2,2,1,221,At Risk
C1071,72,2,1308.1213411830881,3,1,1,311,Newbies
C1072,310,6,229725.87354797882,2,2,1,221,At Risk
C1073,85,10,2159239.653434294,3,3,3,333,Champions
C1074,310,5,1259044.5443690098,2,2,3,223,At Risk
C1075,725,4,7477.309218426355,1,1,1,111,Sleeping
C1076,240,4,120825.04633565259,2,1,1,211,Sleeping
C1077,142,9,1290468.00629568,2,3,3,233,At Risk
C1078,2,7,79476.7760400272,3,3,1,331,Sleeping
C1079,250,5,136307.622290469,2,2,1,221,At Risk
C108,53,7,475370.4581961869,3,3,2,332,Champions
C1080,42,7,1770233.957763332,3,3,3,333,Champions
C1081,337,6,14347.309249305577,2,2,1,221,At Risk
C1082,95,9,1006263.7394904601,3,3,3,333,Champions
C1083,290,8,348556.96431160864,2,3,2,232,At Risk
C1084,446,7,638780.0431540188,1,3,2,132,At Risk
C1085,149,7,14636.85556900595,2,3,1,231,At Risk
C1086,721,5,506401.84322615,1,2,2,122,At Risk
C1087,58,7,835195.9986207981,3,3,3,333,Champions
C1088,1013,3,4375.569792429566,1,1,1,111,Sleeping
C1089,33,1,1166.8164804459261,3,1,1,311,Newbies
C109,354,4,326573.4899483748,2,1,2,212,Sleeping
C1090,642,8,1156031.9090956762,1,3,3,133,At Risk
C1091,667,4,483112.9720665374,1,1,2,112,Sleeping
C1092,215,6,121055.79415740052,2,2,1,221,At Risk
C1093,97,7,541763.5895794912,3,3,2,332,Champions
C1094,2,9,348422.69039318955,3,3,2,332,Champions
C1095,84,6,32810.70966902231,3,2,1,321,Sleeping
C1096,494,5,666161.031683112,1,2,3,123,At Risk
C1097,300,4,384198.4390926183,2,1,2,212,Sleeping
C1098,626,5,171367.9351466316,1,2,1,121,At Risk
C1099,169,4,729703.4550701643,2,1,3,213,Sleeping
C110,297,4,501523.664349113,2,1,2,212,Sleeping
C1100,18,7,533518.4187481974,3,3,2,332,Champions
C1101,422,7,854588.3064475869,1,3,3,133,At Risk
C1102,385,4,411800.86799900065,1,1,2,112,Sleeping
C1103,1357,2,404717.59906582045,1,1,2,112,Sleeping
C1104,154,10,61957.631157525626,2,3,1,231,At Risk
C1105,243,5,354495.28451253806,2,2,2,222,At Risk
C1106,45,10,631305.3994303084,3,3,2,332,Champions
C1107,23,6,9416.003182163413,3,2,1,321,Sleeping
C1108,51,11,1424495.5285814498,3,3,3,333,Champions
C1109,49,7,1476831.4710422354,3,3,3,333,Champions
C111,408,7,792459.9669226198,1,3,3,133,At Risk
C1110,314,3,233482.49170950465,2,1,1,211,Sleeping
C1111,192,3,441325.36878652096,2,1,2,212,Sleeping
C1112,222,6,672133.4880462941,2,2,3,223,At Risk
C1113,923,3,687218.7051172627,1,1,3,113,Sleeping
C1114,69,5,1468261.3222528896,3,2,3,323,Champions
C1115,4,3,465223.73742592876,3,1,2,312,Newbies
C1116,399,9,1760764.659454675,1,3,3,133,At Risk
C1117,315,8,1960227.9624580627,2,3,3,233,At Risk
C1118,57,2,5976.2536491166675,3,1,1,311,Newbies
C1119,50,7,2763423.4120262736,3,3,3,333,Champions
C112,583,4,7141.808223426887,1,1,1,111,Sleeping
C1120,31,7,795123.1751550047,3,3,3,333,Champions
C1121,324,7,730092.9753397914,2,3,3,233,At Risk
C1122,153,7,1811834.850962523,2,3,3,233,At Risk
C1123,870,6,314062.4572216776,1,2,2,122,At Risk
C1124,226,10,162226.6401617837,2,3,1,231,At Risk
C1125,329,2,80930.20513247729,2,1,1,211,Sleeping
C1126,345,5,136052.43898810825,2,2,1,221,At Risk
C1127,334,1,309887.89821500063,2,1,2,212,Sleeping
C1128,112,3,234257.2968482405,3,1,1,311,Newbies
C1129,1042,2,5896.235586114079,1,1,1,111,Sleeping
C113,48,9,243463.98903695706,3,3,1,331,Sleeping
C1130,390,4,45854.69904549634,1,1,1,111,Sleeping
C1131,361,6,376615.7276368661,2,2,2,222,At Risk
C1132,107,5,616552.1268276846,3,2,2,322,Champions
C1133,95,7,1179983.2203731465,3,3,3,333,Champions
C1134,610,4,434998.73138871766,1,1,2,112,Sleeping
C1135,445,4,617736.223150035,1,1,2,112,Sleeping
C1136,178,5,111329.71412243193,2,2,1,221,At Risk
C1137,168,9,1793250.2073173067,2,3,3,233,At Risk
C1138,249,3,525376.2953930666,2,1,2,212,Sleeping
C1139,30,8,679450.7768995301,3,3,3,333,Champions
C114,130,8,410778.74005217286,3,3,2,332,Champions
C1140,692,4,93890.5379841519,1,1,1,111,Sleeping
C1141,135,9,1330036.6821690823,2,3,3,233,At Risk
C1142,121,5,333772.1110967332,3,2,2,322,Champions
C1143,238,11,920055.7498057318,2,3,3,233,At Risk
C1144,351,7,757829.981958267,2,3,3,233,At Risk
C1145,247,6,912143.173342799,2,2,3,223,At Risk
C1146,146,5,339576.3131026033,2,2,2,222,At Risk
C1147,1,4,491786.70990218123,3,1,2,312,Newbies
C1148,16,10,158859.68851538395,3,3,1,331,Sleeping
C1149,237,10,1234181.543554714,2,3,3,233,At Risk
C115,66,3,269484.08636528725,3,1,2,312,Newbies
C1150,87,9,1946381.6738114757,3,3,3,333,Champions
C1151,13,8,275186.4138738563,3,3,2,332,Champions
C1152,362,4,113833.89157371089,2,1,1,211,Sleeping
C1153,559,4,260177.6903926608,1,1,2,112,Sleeping
C1154,51,9,874066.7276077153,3,3,3,333,Champions
C1155,915,5,84400.91702362084,1,2,1,121,At Risk
C1156,195,8,1056255.248178464,2,3,3,233,At Risk
C1157,968,2,703.077327774107,1,1,1,111,Sleeping
C1158,130,6,1268991.6769395005,3,2,3,323,Champions
C1159,22,5,1086734.5854605224,3,2,3,323,Champions
C116,127,4,10925.212387013216,3,1,1,311,Newbies
C1160,33,3,946828.037313693,3,1,3,313,Newbies
C1161,691,4,413314.2654916564,1,1,2,112,Sleeping
C1162,105,7,119646.62920294763,3,3,1,331,Sleeping
C1163,526,9,1779475.0806729686,1,3,3,133,At Risk
C1164,135,8,285046.3615270847,2,3,2,232,At Risk
C1165,260,5,1053777.2969184392,2,2,3,223,At Risk
C1166,85,5,1493963.9437616882,3,2,3,323,Champions
C1167,184,5,100862.8592082586,2,2,1,221,At Risk
C1168,1230,1,289493.18419471814,1,1,2,112,Sleeping
C1169,181,7,483411.9334491012,2,3,2,232,At Risk
C117,1017,4,702004.1089445093,1,1,3,113,Sleeping
C1170,77,2,230771.866874855,3,1,1,311,Newbies
C1171,99,4,408694.4719797944,3,1,2,312,Newbies
C1172,44,6,657388.8610849783,3,2,2,322,Champions
C1173,45,5,13465.603123391355,3,2,1,321,Sleeping
C1174,264,4,2361.5880084056316,2,1,1,211,Sleeping
C1175,282,7,15734.000191236624,2,3,1,231,At Risk
C1176,15,8,1260420.5636246232,3,3,3,333,Champions
C1177,83,6,965598.8937424519,3,2,3,323,Champions
C1178,11,4,339595.431556833,3,1,2,312,Newbies
C1179,319,5,349746.9481061617,2,2,2,222,At Risk
C118,551,6,221601.25545389543,1,2,1,121,At Risk
C1180,847,6,401139.78321699385,1,2,2,122,At Risk
C1181,96,9,1185156.1182413774,3,3,3,333,Champions
C1182,518,3,7608.396263860059,1,1,1,111,Sleeping
C1183,247,4,17564.158066670872,2,1,1,211,Sleeping
C1184,886,3,292264.86255526094,1,1,2,112,Sleeping
C1185,707,6,8977.68602707452,1,2,1,121,At Risk
C1186,266,5,1807621.3278338988,2,2,3,223,At Risk
C1187,603,4,322447.92158517166,1,1,2,112,Sleeping
C1188,72,5,14297.07373280203,3,2,1,321,Sleeping
C1189,157,4,1015363.49719002,2,1,3,213,Sleeping
C119,806,3,8419.819473329528,1,1,1,111,Sleeping
C1190,842,5,8617.38210827822,1,2,1,121,At Risk
C1191,55,8,621126.3075423423,3,3,2,332,Champions
C1192,104,6,1050102.4182689614,3,2,3,323,Champions
C1193,246,3,805370.0201817203,2,1,3,213,Sleeping
C1194,585,5,86016.1220920721,1,2,1,121,At Risk
C1195,225,5,1038439.3652795765,2,2,3,223,At Risk
C1196,331,8,481701.7349562983,2,3,2,232,At Risk
C1197,641,6,1307031.683022929,1,2,3,123,At Risk
C1198,1063,3,144934.1017382585,1,1,1,111,Sleeping
C1199,827,3,8560.153407992884,1,1,1,111,Sleeping
C120,416,6,695824.1830075644,1,2,3,123,At Risk
C1200,422,8,820009.4686699834,1,3,3,133,At Risk
C1201,102,5,57351.85603212201,3,2,1,321,Sleeping
C1202,25,2,7069.931782268029,3,1,1,311,Newbies
C1203,506,5,1036726.5411188772,1,2,3,123,At Risk
C1204,116,5,217007.02418315146,3,2,1,321,Sleeping
C1205,777,3,213297.01149917248,1,1,1,111,Sleeping
C1206,102,7,508435.9182250842,3,3,2,332,Champions
C1207,370,4,940327.6422046099,1,1,3,113,Sleeping
C1208,530,8,559726.6165398171,1,3,2,132,At Risk
C1209,101,6,658259.1835275274,3,2,2,322,Champions
C121,322,4,536151.1027711051,2,1,2,212,Sleeping
C1210,565,4,915692.032979554,1,1,3,113,Sleeping
C1211,298,8,791881.638846448,2,3,3,233,At Risk
C1212,52,7,590027.1769694537,3,3,2,332,Champions
C1213,336,7,2238417.901834406,2,3,3,233,At Risk
C1214,243,4,219876.22666034926,2,1,1,211,Sleeping
C1215,16,6,625139.8121296086,3,2,2,322,Champions
C1216,14,10,626553.4487135897,3,3,2,332,Champions
C1217,88,8,1356642.6684674937,3,3,3,333,Champions
C1218,100,8,456889.65184887184,3,3,2,332,Champions
C1219,40,4,777427.8211972124,3,1,3,313,Newbies
C122,910,2,158062.7295218665,1,1,1,111,Sleeping
C1220,244,6,656973.444646217,2,2,2,222,At Risk
C1221,218,8,1619403.4854654488,2,3,3,233,At Risk
C1222,465,8,1325785.1091895015,1,3,3,133,At Risk
C1223,69,7,507583.830762556,3,3,2,332,Champions
C1224,241,5,681694.2969213298,2,2,3,223,At Risk
C1225,67,4,5721.647802588885,3,1,1,311,Newbies
C1226,31,7,571141.5695633034,3,3,2,332,Champions
C1227,136,7,256747.8292031003,2,3,2,232,At Risk
C1228,376,8,988316.524083508,1,3,3,133,At Risk
C1229,1372,2,913895.8312391723,1,1,3,113,Sleeping
C123,383,4,167736.00502690446,1,1,1,111,Sleeping
C1230,86,6,460244.16740650596,3,2,2,322,Champions
C1231,420,1,2198.2209770671443,1,1,1,111,Sleeping
C1232,843,9,1495788.5304583677,1,3,3,133,At Risk
C1233,77,3,6879.007630243115,3,1,1,311,Newbies
C1234,174,5,72795.88858452349,2,2,1,221,At Risk
C1235,370,11,258236.806552768,1,3,2,132,At Risk
C1236,1739,1,140619.31815401683,1,1,1,111,Sleeping
C1237,167,4,257559.8541210337,2,1,2,212,Sleeping
C1238,365,7,1077125.045163954,2,3,3,233,At Risk
C1239,248,8,292302.15456007374,2,3,2,232,At Risk
C124,30,4,8337.480270975844,3,1,1,311,Newbies
C1240,593,5,412242.4669635885,1,2,2,122,At Risk
C1241,181,7,1349976.3534040959,2,3,3,233,At Risk
C1242,79,7,754716.821370153,3,3,3,333,Champions
C1243,949,4,9620.368433653606,1,1,1,111,Sleeping
C1244,34,7,562532.686859689,3,3,2,332,Champions
C1245,31,4,172943.65660341785,3,1,1,311,Newbies
C1246,346,7,468018.7065475262,2,3,2,232,At Risk
C1247,2,8,505939.99114676745,3,3,2,332,Champions
C1248,359,6,1558081.850336384,2,2,3,223,At Risk
C1249,67,7,431842.79177824524,3,3,2,332,Champions
C125,592,6,311510.71845986956,1,2,2,122,At Risk
C1250,362,2,2671.4310378438295,2,1,1,211,Sleeping
C1251,126,7,997014.60670604,3,3,3,333,Champions
C1253,219,5,147787.68752635637,2,2,1,221,At Risk
C1254,153,11,843087.6622755644,2,3,3,233,At Risk
C1255,1218,1,246.45072391713063,1,1,1,111,Sleeping
C1256,517,6,487477.6773031424,1,2,2,122,At Risk
C1257,83,3,356727.3768325253,3,1,2,312,Newbies
C1258,109,8,153107.95506433723,3,3,1,331,Sleeping
C1259,704,2,1226.425181716343,1,1,1,111,Sleeping
C126,220,6,697152.2224256755,2,2,3,223,At Risk
C1260,241,3,563935.9748543964,2,1,2,212,Sleeping
C1261,925,2,1052.4410988578827,1,1,1,111,Sleeping
C1262,176,5,1143692.8546447584,2,2,3,223,At Risk
C1263,327,3,5862.11664670603,2,1,1,211,Sleeping
C1264,327,2,82037.35067001353,2,1,1,211,Sleeping
C1265,125,9,1040495.4870880167,3,3,3,333,Champions
C1266,388,7,128420.16531178547,1,3,1,131,At Risk
C1267,80,4,827164.1711108647,3,1,3,313,Newbies
C1268,375,7,775845.2583448807,1,3,3,133,At Risk
C1269,224,5,277028.7019936102,2,2,2,222,At Risk
C127,4,4,138609.48507509372,3,1,1,311,Newbies
C1270,785,2,272100.40241469484,1,1,2,112,Sleeping
C1271,644,4,156995.03297906477,1,1,1,111,Sleeping
C1272,601,5,653649.6563182675,1,2,2,122,At Risk
C1273,371,8,1392248.9152746792,1,3,3,133,At Risk
C1274,36,6,609440.4963599289,3,2,2,322,Champions
C1275,303,7,1116820.1300164268,2,3,3,233,At Risk
C1276,59,6,39271.033854932444,3,2,1,321,Sleeping
C1277,387,3,311218.743420218,1,1,2,112,Sleeping
C1278,79,11,881222.2697025297,3,3,3,333,Champions
C1279,499,6,1358389.2453396495,1,2,3,123,At Risk
C128,170,9,892884.0564715054,2,3,3,233,At Risk
C1280,80,3,498870.8372054797,3,1,2,312,Newbies
C1281,116,5,712642.0075456903,3,2,3,323,Champions
C1282,338,2,2184.641253607604,2,1,1,211,Sleeping
C1283,123,9,1300521.4513932439,3,3,3,333,Champions
C1284,556,6,341614.93187172886,1,2,2,122,At Risk
C1285,36,7,252529.73999766802,3,3,2,332,Champions
C1286,455,6,633553.8006067134,1,2,2,122,At Risk
C1287,90,5,152116.85233438326,3,2,1,321,Sleeping
C1288,131,7,953604.9867855585,3,3,3,333,Champions
C1289,688,6,1030401.6573352881,1,2,3,123,At Risk
C129,318,3,7160.989673611217,2,1,1,211,Sleeping
C1290,198,9,717869.9595726398,2,3,3,233,At Risk
C1291,72,9,82253.16913113944,3,3,1,331,Sleeping
C1292,168,7,1558901.4288271759,2,3,3,233,At Risk
C1293,192,4,78974.40772816527,2,1,1,211,Sleeping
C1294,130,5,1054574.3522883514,3,2,3,323,Champions
C1295,212,7,385825.3003736452,2,3,2,232,At Risk
C1296,207,11,926956.1521841272,2,3,3,233,At Risk
C1297,754,4,114282.76803362717,1,1,1,111,Sleeping
C1298,41,10,575921.0138579584,3,3,2,332,Champions
C1299,400,6,371448.9098990439,1,2,2,122,At Risk
C130,213,6,1335142.6028641267,2,2,3,223,At Risk
C1300,356,4,6321.355502174616,2,1,1,211,Sleeping
C1301,130,11,2219138.0883154827,3,3,3,333,Champions
C1302,247,4,1085685.8708646423,2,1,3,213,Sleeping
C1303,143,3,2262.545923165145,2,1,1,211,Sleeping
C1304,235,5,516981.05398920056,2,2,2,222,At Risk
C1305,488,4,1171248.5628054214,1,1,3,113,Sleeping
C1306,15,7,803709.3000514802,3,3,3,333,Champions
C1307,494,3,591904.089357799,1,1,2,112,Sleeping
C1308,401,4,703185.8798452568,1,1,3,113,Sleeping
C1309,228,2,7027.710679275872,2,1,1,211,Sleeping
C131,820,3,3831.087172860075,1,1,1,111,Sleeping
C1310,135,5,233189.52639503003,2,2,1,221,At Risk
C1311,223,4,4833.801095813707,2,1,1,211,Sleeping
C1312,282,4,2770.8722789292992,2,1,1,211,Sleeping
C1313,11,6,1285675.8676165454,3,2,3,323,Champions
C1314,1174,3,697268.1680839752,1,1,3,113,Sleeping
C1315,635,3,3301.966441319942,1,1,1,111,Sleeping
C1316,15,5,461316.8574965843,3,2,2,322,Champions
C1317,134,9,827583.9952585659,2,3,3,233,At Risk
C1318,628,4,85355.01620400691,1,1,1,111,Sleeping
C1319,43,6,7461.884087550908,3,2,1,321,Sleeping
C132,205,3,1283811.1605573015,2,1,3,213,Sleeping
C1320,616,4,780950.3739226055,1,1,3,113,Sleeping
C1321,130,8,1662321.364995879,3,3,3,333,Champions
C1322,42,6,426878.11255096877,3,2,2,322,Champions
C1323,30,2,43076.47470064956,3,1,1,311,Newbies
C1324,98,6,353241.67326663405,3,2,2,322,Champions
C1325,171,10,335833.3036194744,2,3,2,232,At Risk
C1326,1043,5,23383.560009352437,1,2,1,121,At Risk
C1327,215,7,791300.7302952958,2,3,3,233,At Risk
C1328,14,3,10005.159002480632,3,1,1,311,Newbies
C1329,237,5,549695.2603374394,2,2,2,222,At Risk
C133,99,7,617881.1321586702,3,3,2,332,Champions
C1330,148,6,1076837.9262541197,2,2,3,223,At Risk
C1331,613,5,788843.1850104863,1,2,3,123,At Risk
C1332,399,5,1006396.1384038822,1,2,3,123,At Risk
C1333,201,9,2540410.664586605,2,3,3,233,At Risk
C1334,635,3,8280.0534640893,1,1,1,111,Sleeping
C1335,408,2,1084.5330959848811,1,1,1,111,Sleeping
C1336,19,6,464637.8680805816,3,2,2,322,Champions
C1337,43,5,10672.930127967044,3,2,1,321,Sleeping
C1338,354,5,5725.017182056791,2,2,1,221,At Risk
C1339,3,3,677830.7432705188,3,1,3,313,Newbies
C134,217,3,95458.93923715297,2,1,1,211,Sleeping
C1340,51,6,219664.04785738245,3,2,1,321,Sleeping
C1341,326,3,371171.98544574965,2,1,2,212,Sleeping
C1342,10,3,303760.0536917384,3,1,2,312,Newbies
C1343,85,10,758385.0467771244,3,3,3,333,Champions
C1344,197,6,484625.977691048,2,2,2,222,At Risk
C1345,221,4,261042.26093355633,2,1,2,212,Sleeping
C1346,505,3,2947.363339906042,1,1,1,111,Sleeping
